V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs6664362	1	9536458	rs17025837	2	85136390	-1.0634	0.1314	5.69145e-16	SLC25A33	KCMF1 
2	rs6664362	1	9536458	rs10053502	5	40014929	1.5329	0.3299	3.37052e-06	SLC25A33	
3	rs6664362	1	9536458	rs16931350	8	65701037	1.3496	0.2883	2.85701e-06	SLC25A33	CYP7B1 
4	rs6664362	1	9536458	rs1887387	9	90069741	-0.6083	0.1324	4.30855e-06	SLC25A33	
5	rs6664362	1	9536458	rs11238776	10	42098785	-1.8342	0.3687	6.54073e-07	SLC25A33	
6	rs6664362	1	9536458	rs5030416	11	36489064	-0.7433	0.1465	3.87038e-07	SLC25A33	
7	rs6664362	1	9536458	rs1003761	14	23602251	-0.8616	0.1729	6.20901e-07	SLC25A33	CARMIL3 
8	rs6664362	1	9536458	rs486743	18	12495089	1.3808	0.2775	6.49246e-07	SLC25A33	SPIRE1 
9	rs6664362	1	9536458	rs11910489	21	16968775	-1.3202	0.2190	1.65162e-09	SLC25A33	
10	rs6664362	1	9536458	rs17002187	21	26762664	0.9024	0.1982	5.30623e-06	SLC25A33	CYYR1 
11	rs6687006	1	38445830	rs2924338	18	51326785	-0.9532	0.2072	4.19675e-06		
12	rs6690381	1	83928327	rs13415553	2	221126448	-3.1959	0.6105	1.64724e-07		
13	rs16841336	1	157167751	rs17025837	2	85136390	-0.4429	0.0793	2.33708e-08	PYHIN1	KCMF1 
14	rs16841336	1	157167751	rs5030416	11	36489064	-0.4897	0.0903	5.89178e-08	PYHIN1	
15	rs11803913	1	203139465	rs11925421	3	147370852	-0.7989	0.1515	1.33751e-07		
16	rs10779486	1	206805932	rs17025837	2	85136390	-0.4889	0.0909	7.39718e-08		KCMF1 
17	rs10779486	1	206805932	rs11238776	10	42098785	-1.4005	0.2926	1.70295e-06		
18	rs2574672	1	240482668	rs663366	8	98528011	-0.8496	0.1838	3.79235e-06		
19	rs11898209	2	45872037	rs12549933	8	80992623	-0.5751	0.1270	5.9624e-06		
20	rs17025837	2	85136390	rs11925421	3	147370852	-0.7958	0.1126	1.55212e-12	KCMF1	
21	rs17025837	2	85136390	rs9322193	6	149960836	-0.3705	0.0762	1.17391e-06	KCMF1	
22	rs17025837	2	85136390	rs1887387	9	90069741	-0.3553	0.0744	1.77149e-06	KCMF1	
23	rs17025837	2	85136390	rs11823088	11	19146328	0.6435	0.1393	3.86113e-06	KCMF1	
24	rs17025837	2	85136390	rs11225401	11	102113169	-0.5004	0.0811	6.96136e-10	KCMF1	
25	rs17025837	2	85136390	rs4903419	14	76054408	-0.4412	0.0802	3.80492e-08	KCMF1	
26	rs6809953	3	117493781	rs9383431	6	18800063	-0.5738	0.1289	8.56706e-06		
27	rs782437	3	128899892	rs6788460	3	138324139	0.4671	0.0908	2.65296e-07		
28	rs782437	3	128899892	rs9831130	3	138332662	0.4453	0.0902	7.96323e-07		
29	rs11925421	3	147370852	rs16931350	8	65701037	1.3044	0.2620	6.40999e-07		CYP7B1 
30	rs11925421	3	147370852	rs1887387	9	90069741	-0.5915	0.1140	2.13373e-07		
31	rs11925421	3	147370852	rs1003761	14	23602251	-0.8264	0.1556	1.08115e-07		CARMIL3 
32	rs11925421	3	147370852	rs11910489	21	16968775	-1.0415	0.1880	3.04159e-08		
33	rs6443856	3	184362805	rs387946	12	69162165	-1.2677	0.2831	7.53719e-06		
34	rs6443856	3	184362805	rs632547	12	69162296	-1.2696	0.2830	7.27077e-06		
35	rs3902731	5	87314833	rs11152086	18	54391010	-1.1719	0.2488	2.46512e-06		
36	rs3844554	5	87317210	rs11152086	18	54391010	-1.1536	0.2492	3.65516e-06		
37	rs13172873	5	118665442	rs3789950	10	98152781	1.1497	0.2585	8.68879e-06		
38	rs582677	6	5953061	rs7251000	19	4665468	-0.4884	0.1098	8.58508e-06		
39	rs7754397	6	91847214	rs8127479	21	26012227	-1.5186	0.3305	4.3388e-06		
