V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs7520924	1	62273143	rs12640158	4	104940847	1.7675	0.3751	2.44971e-06		
2	rs12410256	1	155496893	rs1056032	6	28978954	18.1830	4.0424	6.85652e-06		
3	rs12410256	1	155496893	rs7762289	6	29018214	18.3579	4.0951	7.3634e-06		
4	rs12410256	1	155496893	rs4947256	6	29029919	18.2365	4.0648	7.24373e-06		
5	rs16834300	1	190684303	rs6054399	20	6547698	16.8988	3.7025	5.01514e-06		
6	rs1033928	1	194430520	rs3736919	13	35837688	-1.1001	0.2458	7.61243e-06		
7	rs7604720	2	26591404	rs9789218	18	64284356	1.0979	0.2477	9.34751e-06		
8	rs17025044	2	40169403	rs17690319	7	41084586	-17.5766	3.5960	1.01995e-06		
9	rs3754568	2	46224718	rs6054399	20	6547698	-1.0248	0.2306	8.81437e-06		
10	rs9811522	3	5854366	rs925319	18	66623186	-17.1518	3.6727	3.0102e-06		
11	rs9834970	3	36831034	rs12364918	11	130246625	1.8564	0.3823	1.20128e-06		
12	rs1553656	3	36834709	rs12364918	11	130246625	-1.7587	0.3894	6.29289e-06		
13	rs4789	3	36844443	rs12364918	11	130246625	-1.7590	0.3892	6.2122e-06		
14	rs2167180	3	67763797	rs2612060	12	64529769	-2.0481	0.4486	4.97941e-06		
15	rs2316263	3	101382786	rs4883536	12	131746819	-1.0119	0.2263	7.73409e-06		
16	rs1812310	4	5272479	rs12230547	12	57526292	-17.1231	3.7837	6.0271e-06		
17	rs4100758	5	148626971	rs17420770	8	20503992	1.7703	0.3789	2.98131e-06		
18	rs6458116	6	39507637	rs2823188	21	15550904	2.3543	0.5069	3.4081e-06		
19	rs7807193	7	37901198	rs11983950	7	53422386	-1.4160	0.3161	7.48468e-06		
20	rs11774078	8	125017223	rs10746936	9	75976117	1.2251	0.2690	5.24179e-06		
21	rs10962915	9	1721076	rs2664374	20	5607444	1.2852	0.2709	2.09985e-06		
22	rs622173	11	1842723	rs12449822	17	74867283	17.2612	3.7549	4.28722e-06		
23	rs1005842	15	79768620	rs13058323	22	20770829	2.8986	0.5920	9.77038e-07		
24	rs12916179	15	79845673	rs13058323	22	20770829	2.4541	0.5514	8.54643e-06		
25	rs12913258	15	79849884	rs13058323	22	20770829	2.5603	0.5607	4.96805e-06		
26	rs9980212	21	39376918	rs2110412	22	19349125	1.2227	0.2692	5.55825e-06		
