V1	rs	chr	ps	beta	se	p	Gene 
1	rs6664362	1	9536458	-0.0260	0.0051	3.124247e-07	SLC25A33 
2	rs16841336	1	157167751	-0.0133	0.0030	8.459175e-06	PYHIN1 
3	rs3789357	1	179286940	0.0304	0.0062	9.199761e-07	MR1 
4	rs2000220	1	216654259	0.0153	0.0031	6.426457e-07	TGFB2 
5	rs1879113	2	104450001	0.0623	0.0141	9.985805e-06	
6	rs7558405	2	162831332	0.0307	0.0063	1.168289e-06	
7	rs6734769	2	162847031	0.0394	0.0070	2.003524e-08	IFIH1 
8	rs12476567	2	162856657	0.0377	0.0069	4.064585e-08	IFIH1 
9	rs10439256	2	162860597	0.0379	0.0069	3.620302e-08	IFIH1 
10	rs16846646	2	162923669	0.0318	0.0071	7.33516e-06	GCA 
11	rs6978	3	56736755	0.0191	0.0041	3.306814e-06	ARHGEF3 
12	rs3821414	3	56737285	0.0193	0.0041	2.186296e-06	ARHGEF3 
13	rs1009119	3	56738268	0.0190	0.0041	3.836417e-06	ARHGEF3 
14	rs6765444	3	56738659	0.0188	0.0041	4.079054e-06	ARHGEF3 
15	rs6795648	3	124571756	0.0448	0.0090	6.891151e-07	ADCY5 
16	rs11925421	3	147370852	-0.0246	0.0046	8.467602e-08	
17	rs10016497	4	141433672	0.0181	0.0039	2.612259e-06	SCOC 
18	rs10155508	5	136222522	0.0363	0.0082	9.451178e-06	
19	rs11949188	5	167680766	0.0234	0.0051	4.143152e-06	WWC1 
20	rs10074081	5	178552380	0.0353	0.0061	8.609612e-09	ADAMTS2 
21	rs4700788	5	178553161	0.0210	0.0042	6.157401e-07	ADAMTS2 
22	rs3822601	5	178554182	0.0212	0.0042	4.95439e-07	ADAMTS2 
23	rs6914506	6	37374934	0.0143	0.0026	4.687496e-08	TBC1D22B 
24	rs16896333	6	43275633	0.0549	0.0121	5.342441e-06	CUL9 
25	rs17073336	6	112524916	0.0661	0.0146	5.760098e-06	FAM229B 
26	rs876058	8	29081350	0.0158	0.0034	2.413463e-06	KIF13B 
27	rs12543905	8	134637913	0.0215	0.0043	7.481305e-07	ST3GAL1 
28	rs6578122	8	136155923	0.0270	0.0054	7.858254e-07	
29	rs3781509	10	117847336	0.0579	0.0107	5.862896e-08	GFRA1 
30	rs1872706	11	32533274	0.0151	0.0033	5.776211e-06	
31	rs11227655	11	66555934	0.0588	0.0132	8.110952e-06	SYT12 
32	rs12427339	12	103048947	0.0248	0.0052	2.281135e-06	NFYB 
33	rs12898861	15	75770857	0.0144	0.0031	4.42175e-06	LINGO1 
34	rs8053650	16	11450946	0.0287	0.0061	2.225265e-06	AC099489.1 
35	rs12601618	17	6330731	0.0289	0.0059	9.562703e-07	PITPNM3 
36	rs9962971	18	64621573	0.0563	0.0109	2.69358e-07	CCDC102B 
37	rs2403768	21	14593706	0.0614	0.0133	4.077156e-06	ABCC13 
38	rs9984213	21	15442521	0.0234	0.0053	8.524214e-06	
39	rs9974747	21	15446136	0.0251	0.0055	5.1839e-06	
40	rs9306428	22	25594282	0.0373	0.0077	1.217336e-06	
