V1	rs	chr	ps	beta	se	p	Gene 
1	rs6577570	1	6309863	0.0262	0.0059	8.77777e-06	ACOT7 
2	rs12118066	1	29958054	0.0329	0.0068	1.476096e-06	
3	rs941124	1	53826672	0.0281	0.0056	6.24286e-07	GLIS1 
4	rs2218404	1	107754128	0.0316	0.0067	2.162715e-06	NTNG1 
5	rs558009	1	107758362	0.0343	0.0062	3.876878e-08	NTNG1 
6	rs10918226	1	163884596	0.0156	0.0033	3.451386e-06	MGST3 
7	rs9332628	1	167764355	0.0221	0.0046	2.035565e-06	F5 
8	rs2494302	1	201511837	0.0154	0.0035	9.629035e-06	
9	rs2494279	1	201522441	0.0174	0.0036	1.875029e-06	
10	rs6734660	2	8010477	0.0382	0.0085	6.980981e-06	
11	rs2287105	2	36671811	0.0332	0.0070	2.041979e-06	FEZ2 
12	rs3792223	2	68945648	0.0220	0.0047	3.217716e-06	BMP10 
13	rs13428497	2	129693628	0.0457	0.0083	3.784852e-08	
14	rs10432509	2	192094767	0.0149	0.0032	2.876863e-06	
15	rs2203748	2	192105436	0.0165	0.0035	2.11851e-06	
16	rs284552	2	217021289	0.0281	0.0061	5.084279e-06	SMARCAL1 
17	rs9851625	3	107615782	0.0548	0.0091	1.623243e-09	
18	rs2715694	3	110023833	0.0147	0.0033	7.019351e-06	
19	rs6795648	3	124571756	0.0292	0.0063	3.379739e-06	ADCY5 
20	rs6780511	3	162969359	0.0412	0.0092	7.297414e-06	
21	rs16861986	3	188557190	0.0337	0.0073	3.735657e-06	
22	rs2124075	3	192370979	0.0423	0.0086	8.281619e-07	
23	rs1836702	4	30022467	0.0396	0.0077	2.934216e-07	
24	rs7673475	4	83215207	0.0458	0.0102	7.701697e-06	
25	rs11936273	4	88554532	0.0470	0.0080	3.9524e-09	
26	rs16997168	4	111848488	0.0124	0.0028	7.566087e-06	
27	rs2972781	5	42752083	0.0293	0.0054	6.355426e-08	GHR 
28	rs37540	5	53213804	0.0252	0.0050	4.248416e-07	
29	rs965795	5	57980586	0.0095	0.0021	9.218401e-06	RAB3C 
30	rs11953502	5	160972260	0.0487	0.0105	3.541367e-06	GABRA6 
31	rs307835	5	179966211	0.0384	0.0073	1.265326e-07	FLT4 
32	rs12663510	6	42436047	0.0236	0.0052	6.737154e-06	TRERF1 
33	rs265387	6	129606637	0.0107	0.0024	9.173991e-06	LAMA2 
34	rs6977730	7	28100505	0.0207	0.0042	7.567479e-07	JAZF1 
35	rs2435279	7	84893553	0.0194	0.0041	1.833612e-06	
36	rs2463664	7	84917896	0.0180	0.0039	3.865175e-06	
37	rs7003666	8	18107049	0.0247	0.0056	9.809486e-06	NAT1 
38	rs2513764	8	95176653	0.0201	0.0039	2.223534e-07	
39	rs2382962	8	144740535	0.0158	0.0035	6.355282e-06	EEF1D 
40	rs16925649	9	108403551	0.0286	0.0050	1.393939e-08	
41	rs17154797	10	14267295	0.0357	0.0080	7.40503e-06	FRMD4A 
42	rs12253961	10	24307122	0.0518	0.0102	3.915021e-07	KIAA1217 
43	rs4935474	10	55292241	0.0276	0.0057	1.100928e-06	PCDH15 
44	rs2886405	10	127142934	0.0110	0.0022	8.611043e-07	
45	rs6488271	12	10241957	0.0152	0.0034	6.357687e-06	
46	rs1148980	12	70252605	0.0463	0.0104	8.239239e-06	LGR5 
47	rs17032130	12	100855303	0.0354	0.0080	9.626446e-06	DRAM1 
48	rs2257147	13	37421512	0.0308	0.0068	6.166626e-06	
49	rs4148511	13	94589810	0.0335	0.0074	6.988155e-06	ABCC4 
50	rs2619313	13	94589862	0.0354	0.0076	3.328072e-06	ABCC4 
51	rs16964614	13	103774966	0.0412	0.0091	6.389575e-06	
52	rs1012023	14	33025960	0.0231	0.0045	3.036911e-07	NPAS3 
53	rs10133168	14	104507267	0.0158	0.0036	9.00513e-06	AHNAK2 
54	rs12594522	15	30855341	0.0505	0.0104	1.229724e-06	FMN1 
55	rs12591918	15	32807797	0.0313	0.0068	4.95362e-06	
56	rs2413886	15	46265512	0.0262	0.0058	6.757172e-06	CTXN2 
57	rs1566091	15	84566901	0.0106	0.0023	5.642319e-06	AGBL1 
58	rs13379679	15	85704281	0.0495	0.0100	6.719055e-07	
59	rs8042285	15	90116648	0.0346	0.0066	1.828344e-07	
60	rs8030496	15	90122915	0.0353	0.0064	3.203015e-08	
61	rs35356834	16	66253866	0.0267	0.0057	3.216372e-06	PARD6A 
62	rs1113232	16	66437328	0.0270	0.0058	2.75359e-06	CENPT 
63	rs28679372	16	66440433	0.0252	0.0050	5.610266e-07	NUTF2 
64	rs5923	16	66531454	0.0225	0.0049	4.012146e-06	LCAT 
65	rs1133090	16	66578969	0.0263	0.0051	2.577475e-07	DPEP2 
66	rs11860071	16	66894393	0.0258	0.0052	6.53352e-07	SLC7A6OS 
67	rs7501522	17	285907	0.0346	0.0071	1.217473e-06	
68	rs7235119	18	2034076	0.0448	0.0094	1.835765e-06	
69	rs9748638	18	7867052	0.0182	0.0039	3.660023e-06	PTPRM 
70	rs9958551	18	43490826	0.0469	0.0086	5.682477e-08	
71	rs740021	19	803104	0.0314	0.0054	7.566308e-09	ELANE 
72	rs1274688	19	55692129	0.0557	0.0093	2.397298e-09	
73	rs20554	22	39883205	0.0534	0.0089	2.0182e-09	EP300 
74	rs8135305	22	45097718	0.0216	0.0048	5.759904e-06	GTSE1 
