V1	rs	chr	ps	beta	se	p	Gene 
1	rs12729332	1	98772342	0.0536	0.0118	5.644269e-06	
2	rs11692400	2	216547176	0.0200	0.0042	1.484727e-06	MREG 
3	rs4680509	3	160634953	0.0155	0.0033	1.940174e-06	IQCJ-SCHIP1 
4	rs17419291	5	87816188	0.0239	0.0044	4.218069e-08	
5	rs6997672	8	69109036	0.0434	0.0093	2.823701e-06	PREX2 
6	rs7855148	9	1506528	0.0340	0.0067	3.366948e-07	
7	rs10975612	9	6498149	0.0211	0.0047	7.058319e-06	
8	rs11813051	10	18783066	0.0551	0.0105	1.44058e-07	CACNB2 
9	rs10827540	10	36116780	0.0255	0.0051	5.592256e-07	
10	rs945494	10	36141815	0.0235	0.0046	2.593002e-07	
11	rs4934770	10	36155566	0.0182	0.0037	1.181975e-06	
12	rs7122974	11	45097320	0.0167	0.0037	8.066621e-06	PRDM11 
13	rs9524352	13	93630098	0.0195	0.0044	9.549363e-06	GPC6 
14	rs17235334	13	95072901	0.0175	0.0038	4.888065e-06	DZIP1 
15	rs1560694	19	6218827	-0.0108	0.0024	8.676698e-06	MLLT1 
16	rs751327	20	62048057	0.0480	0.0098	9.406004e-07	UCKL1 
