V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs7513083	1	20010708	rs17825455	17	5783519	-2.7033	0.5975	6.05738e-06		
2	rs2473277	1	22234432	rs17135441	16	1621753	-17.2259	3.5822	1.51926e-06		
3	rs12026014	1	38833082	rs7196594	16	24298206	3.1005	0.6937	7.8484e-06		
4	rs1746747	1	75915283	rs11672222	19	56919728	3.2168	0.6772	2.03014e-06		
5	rs17118192	1	98575051	rs7548237	1	183394873	-1.8104	0.3859	2.70676e-06		
6	rs1282275	1	111431094	rs4540151	5	5411146	18.5410	4.0662	5.12015e-06		
7	rs1282275	1	111431094	rs234369	19	45168577	2.9522	0.6469	5.02603e-06		
8	rs7515448	1	150638659	rs6126303	20	49740539	-2.7786	0.6228	8.14578e-06		
9	rs6427202	1	167795454	rs2907465	17	58738171	-1.0689	0.2364	6.12601e-06		
10	rs7546105	1	187289233	rs16936162	10	35928643	3.6672	0.7687	1.83831e-06		
11	rs12065500	1	197740157	rs7005571	8	66914425	4.1640	0.8917	3.01893e-06		
12	rs12065500	1	197740157	rs7005641	8	102193073	4.0596	0.8083	5.09669e-07		
13	rs9430018	1	208063165	rs11068512	12	116413880	-17.3912	3.9364	9.96194e-06		
14	rs9430019	1	208117417	rs2903728	19	61100107	2.4636	0.5239	2.56851e-06		
15	rs823198	2	2869699	rs6800366	3	54665399	17.8172	3.9975	8.30775e-06		
16	rs2693822	2	6083374	rs2352224	6	67207301	3.7601	0.7453	4.52819e-07		
17	rs6724922	2	79824756	rs7762767	6	90058184	1.7550	0.3912	7.24621e-06		
18	rs10178940	2	123311751	rs9604511	13	113486684	2.8007	0.5982	2.83994e-06		
19	rs10178940	2	123311751	rs7489888	13	113502415	2.5770	0.5765	7.8304e-06		
20	rs2551649	2	208064454	rs10092425	8	67098659	2.8143	0.6303	7.99944e-06		
21	rs6755425	2	208065237	rs10092425	8	67098659	3.1164	0.6604	2.3678e-06		
22	rs16866930	2	226861513	rs10499163	6	130004326	4.0666	0.8669	2.71551e-06		
23	rs2686702	3	4165452	rs12361365	11	68348448	-1.9281	0.4229	5.13788e-06		
24	rs6599257	3	38779592	rs4872439	8	26382300	1.2245	0.2673	4.63299e-06		
25	rs2699975	3	110453409	rs2893954	10	65718694	17.7018	3.9239	6.443e-06		
26	rs893883	3	144050017	rs853553	6	110976298	-17.5461	3.8360	4.78366e-06		
27	rs7624371	3	183294929	rs7904164	10	119613646	-17.8961	3.9399	5.56486e-06		
28	rs4298137	4	14412892	rs992592	5	98095732	-1.8689	0.4093	4.96418e-06		
29	rs9291218	4	42185437	rs4899038	14	60859545	-1.8708	0.4223	9.40518e-06		
30	rs10222924	4	48711518	rs7965179	12	51791594	-1.7789	0.4026	9.92621e-06		
31	rs2768957	4	48748279	rs7965179	12	51791594	-1.7835	0.4035	9.8402e-06		
32	rs1051447	4	48758629	rs7965179	12	51791594	-1.8574	0.4016	3.75441e-06		
33	rs28498138	4	71515512	rs7831728	8	29261722	3.9938	0.8852	6.43056e-06		
34	rs28690964	4	71515698	rs7831728	8	29261722	3.9912	0.8852	6.51892e-06		
35	rs1962495	4	115532764	rs2059117	4	181678796	1.1316	0.2544	8.68676e-06		
36	rs1962495	4	115532764	rs1376508	8	35081747	-1.8596	0.4195	9.28618e-06		
37	rs7674531	4	165105510	rs10499163	6	130004326	2.7837	0.6092	4.88203e-06		
38	rs4690554	4	178836765	rs697550	5	14125453	17.0624	3.7910	6.76863e-06		
39	rs7669469	4	181700302	rs11150032	16	76595394	-17.4714	3.3131	1.33896e-07		
40	rs11943826	4	181711225	rs11150032	16	76595394	-2.8583	0.6382	7.50889e-06		
41	rs4426911	5	125806834	rs4782717	16	81167218	-1.7019	0.3678	3.71386e-06		
42	rs4426911	5	125806834	rs459756	21	26598272	1.3782	0.2839	1.20289e-06		
43	rs2161747	5	146651578	rs9595770	13	47219459	-1.5016	0.3045	8.17068e-07		
44	rs7760394	6	45686882	rs7928765	11	126287995	-2.2074	0.4418	5.84518e-07		
45	rs9456696	6	161989559	rs9604511	13	113486684	18.5316	3.8816	1.80375e-06		
46	rs11770984	7	26137739	rs2925877	8	129318573	1.0398	0.2341	8.9224e-06		
47	rs7783212	7	153773484	rs4918948	10	97306030	-1.6880	0.3612	2.9665e-06		
48	rs7831728	8	29261722	rs2813277	10	51573668	4.0065	0.8970	7.95521e-06		
49	rs7831728	8	29261722	rs17058178	13	38014394	3.1900	0.7110	7.22913e-06		
50	rs7831728	8	29261722	rs10149020	14	52968356	3.3903	0.7325	3.6867e-06		
51	rs7831728	8	29261722	rs8031014	15	33108637	3.0094	0.6769	8.76352e-06		
52	rs6558205	8	48244020	rs11247118	15	97989207	1.5805	0.3539	7.96403e-06		
53	rs4551346	8	63565715	rs7974366	12	12829195	1.6016	0.3553	6.54995e-06		
54	rs17085042	9	83578988	rs7404578	16	17404445	1.8676	0.3975	2.618e-06		
55	rs4518734	9	123708019	rs11831821	12	43763574	2.4895	0.5579	8.12116e-06		
56	rs1904024	10	53511343	rs1002244	21	18477887	2.4747	0.5526	7.51381e-06		
57	rs11231918	11	64513102	rs1336666	13	101849898	3.6445	0.7975	4.88521e-06		
58	rs10774812	12	114349795	rs4902046	14	60859258	-17.0918	3.8533	9.18007e-06		
59	rs10774812	12	114349795	rs4899038	14	60859545	-2.5990	0.5518	2.47932e-06		
60	rs17079354	13	23269225	rs1629174	19	44578058	1.6854	0.3802	9.29416e-06		
