V1	rs	chr	ps	beta	se	p	Gene 
1	rs6664362	1	9536458	0.0551	0.0054	1.846251e-24	SLC25A33 
2	rs904218	1	54733577	0.0251	0.0055	5.74492e-06	
3	rs4465227	1	83805074	0.0241	0.0054	8.421985e-06	
4	rs16841336	1	157167751	0.0185	0.0032	7.265087e-09	PYHIN1 
5	rs10779486	1	206805932	0.0400	0.0041	6.131656e-22	
6	rs17025837	2	85136390	0.0224	0.0035	1.369008e-10	KCMF1 
7	rs10173578	2	98638084	0.0711	0.0135	1.39271e-07	MGAT4A 
8	rs7586108	2	98656954	0.0545	0.0121	7.26247e-06	MGAT4A 
9	rs4467263	2	216412203	0.0284	0.0064	8.941384e-06	
10	rs2396261	2	226253774	0.0244	0.0041	1.956478e-09	
11	rs17050371	3	9482379	0.0539	0.0117	4.446303e-06	SETD5 
12	rs7613687	3	60124976	0.0366	0.0073	5.830227e-07	FHIT 
13	rs11925421	3	147370852	0.0451	0.0049	3.889461e-20	
14	rs6855169	4	87409854	0.0174	0.0038	5.17517e-06	MAPK10 
15	rs359502	4	163061103	0.0566	0.0116	1.21883e-06	FSTL5 
16	rs4594876	5	96200799	0.0587	0.0130	6.150582e-06	
17	rs6914506	6	37374934	-0.0256	0.0028	6.577782e-20	TBC1D22B 
18	rs636444	6	75886187	0.0681	0.0117	6.537207e-09	COL12A1 
19	rs4719303	7	12212182	0.0710	0.0155	5.019359e-06	
20	rs2333890	7	131063176	0.0467	0.0099	2.742906e-06	
21	rs1881690	7	154556020	0.0248	0.0056	9.72057e-06	
22	rs9644372	8	4645818	0.0448	0.0081	3.103544e-08	CSMD1 
23	rs17071510	8	4658756	0.0410	0.0087	2.570519e-06	CSMD1 
24	rs17071569	8	4663824	0.0360	0.0079	5.303253e-06	CSMD1 
25	rs7859572	9	32127688	0.0551	0.0121	5.305183e-06	
26	rs7477268	10	5360986	-0.0150	0.0034	8.443174e-06	
27	rs10491052	10	108384604	0.0211	0.0044	1.705825e-06	SORCS1 
28	rs3781436	10	126685259	0.0256	0.0050	3.207543e-07	CTBP2 
29	rs341093	11	71914693	0.0407	0.0090	5.639215e-06	
30	rs7946005	11	78464992	0.0358	0.0040	1.052576e-18	TENM4 
31	rs11225401	11	102113169	0.0214	0.0034	2.011892e-10	
32	rs7970246	12	98033341	0.0503	0.0107	2.895588e-06	ANKS1B 
33	rs17234467	13	92867191	0.0758	0.0155	1.000154e-06	GPC6 
34	rs1003761	14	23602251	0.0300	0.0051	5.651741e-09	CARMIL3 
35	rs4903419	14	76054408	0.0207	0.0034	1.031482e-09	
36	rs11070885	15	50289148	0.0209	0.0047	8.394346e-06	MYO5C 
37	rs2573590	15	98340757	0.0691	0.0155	8.49181e-06	ADAMTS17 
38	rs235083	16	64760511	-0.0252	0.0030	2.736873e-17	
39	rs486743	18	12495089	-0.0160	0.0029	3.271965e-08	SPIRE1 
40	rs16975208	18	37538035	0.0421	0.0095	9.649039e-06	
41	rs11910489	21	16968775	0.0340	0.0066	2.647598e-07	
