V1	rs	chr	ps	beta	se	p	Gene 
1	rs10779486	1	206805932	-0.0156	0.0034	3.672534e-06	
2	rs11925421	3	147370852	-0.0206	0.0040	3.170029e-07	
3	rs13122003	4	23368426	-0.0128	0.0028	4.27892e-06	PPARGC1A 
4	rs4697418	4	23368811	-0.0133	0.0028	1.813714e-06	PPARGC1A 
5	rs6914506	6	37374934	0.0118	0.0023	4.047782e-07	TBC1D22B 
6	rs12235745	9	12530358	0.0167	0.0038	9.082487e-06	
7	rs1766059	9	116078932	-0.0131	0.0029	6.857047e-06	COL27A1 
8	rs10982134	9	116090819	0.0130	0.0029	6.407809e-06	COL27A1 
9	rs235083	16	64760511	0.0123	0.0025	5.498986e-07	
10	rs1822215	18	49501501	0.0135	0.0029	2.852245e-06	
11	rs16980635	20	19394626	-0.0130	0.0028	2.706448e-06	SLC24A3 
12	rs1538218	20	22444290	0.0613	0.0134	5.181347e-06	
