V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs3828051	1	30970386	rs7815682	8	18623918	1.9864	0.4263	3.16241e-06		
2	rs6425939	1	35401376	rs4618582	7	66546427	1.2207	0.2682	5.31044e-06		
3	rs4348764	1	68610398	rs6743106	2	68595464	5.6031	1.2236	4.67165e-06		
4	rs11210357	1	74106296	rs4074617	6	3858629	-17.7804	3.7574	2.22276e-06		
5	rs3916208	1	95033472	rs10440995	7	11198252	-17.0745	3.8581	9.61453e-06		
6	rs2810418	1	100416498	rs871429	11	36183135	1.4439	0.3256	9.23334e-06		
7	rs946818	1	176264420	rs3007061	14	46308356	-1.9142	0.4306	8.77885e-06		
8	rs11799643	1	207946222	rs1988083	17	50146705	2.7173	0.5796	2.75047e-06		
9	rs1366990	1	234948326	rs10254035	7	70039082	17.5660	3.7695	3.16156e-06		
10	rs4390163	1	237562512	rs3120890	13	54609561	1.3305	0.2957	6.81754e-06		
11	rs4390163	1	237562512	rs1582147	13	54628925	1.3311	0.2957	6.73788e-06		
12	rs4390163	1	237562512	rs641385	13	54771026	1.3187	0.2948	7.70887e-06		
13	rs11903474	2	52100230	rs7216300	17	56023823	3.8464	0.8557	6.95987e-06		
14	rs6743106	2	68595464	rs327832	5	125200482	-16.8887	3.7043	5.13326e-06		
15	rs6743106	2	68595464	rs4149313	9	106626574	17.1767	3.5725	1.52431e-06		
16	rs7606395	2	76734718	rs2830976	21	27782693	2.0499	0.4204	1.08491e-06		
17	rs17024323	2	84043438	rs3003202	13	69469515	-2.9748	0.6155	1.34288e-06		
18	rs17024323	2	84043438	rs2472285	13	69478105	-17.7830	3.8921	4.90148e-06		
19	rs6733249	2	98093335	rs166353	4	26222553	-17.2881	3.9066	9.62875e-06		
20	rs6743113	2	175860968	rs472936	9	112669312	-17.5115	3.7326	2.71132e-06		
21	rs4894203	2	177418213	rs7047329	9	132229317	-17.1244	3.8295	7.76114e-06		
22	rs10497567	2	181111709	rs10814814	9	4009700	1.7146	0.3851	8.51567e-06		
23	rs2372757	3	81305242	rs2631864	8	21156364	1.2811	0.2878	8.50915e-06		
24	rs10470524	3	185251030	rs1510973	5	118117697	-1.4302	0.3166	6.25099e-06		
25	rs12233824	4	7784743	rs9380934	6	12337924	-1.2382	0.2555	1.25781e-06		
26	rs6833151	4	24343929	rs8103801	19	14546934	5.0580	1.1361	8.50016e-06		
27	rs6833151	4	24343929	rs10415055	19	14549725	18.8564	4.1985	7.08313e-06		
28	rs4861074	4	40648464	rs2836889	21	39407444	-1.6516	0.3673	6.88788e-06		
29	rs2412494	4	54327916	rs17760491	13	95965153	1.8601	0.4210	9.96685e-06		
30	rs355679	4	78697530	rs28735138	9	139393985	18.3068	4.1044	8.18514e-06		
31	rs345328	4	86982925	rs4806798	19	59858533	-2.2048	0.4927	7.65065e-06		
32	rs1553142	4	129806899	rs9603226	13	37041586	-17.1104	3.8619	9.3977e-06		
33	rs11133706	5	12363717	rs12198596	6	103902072	1.8297	0.3731	9.36843e-07		
34	rs1966938	5	93608749	rs497264	19	60801728	-1.8487	0.3731	7.23127e-07		
35	rs9393069	6	8800947	rs1880535	8	69434121	1.5351	0.3341	4.32425e-06		
36	rs9262539	6	31098469	rs9305467	21	31971660	-17.4354	3.4843	5.61443e-07		
37	rs9471115	6	39544026	rs3865365	18	10515480	19.2794	4.3559	9.59812e-06		
38	rs593493	6	65114770	rs11630814	15	88439163	-1.1026	0.2421	5.26003e-06		
39	rs10440995	7	11198252	rs6948941	7	24368645	-3.4814	0.7354	2.20195e-06		
40	rs10440995	7	11198252	rs6980533	8	20781438	-18.0562	2.9506	9.38654e-10		
41	rs10440995	7	11198252	rs10092318	8	21414363	-2.6757	0.5829	4.42812e-06		
42	rs10440995	7	11198252	rs575764	11	22441652	-2.9788	0.6436	3.68629e-06		
43	rs10440995	7	11198252	rs1367860	13	46541160	-3.5470	0.7908	7.2735e-06		
44	rs10440995	7	11198252	rs16991956	20	44918454	-17.6237	3.5238	5.69165e-07		
45	rs221134	7	28943536	rs13045110	20	48270025	-1.8694	0.4207	8.86395e-06		
46	rs221151	7	28958387	rs13045110	20	48270025	-2.3065	0.5185	8.6449e-06		
47	rs10112584	8	10316913	rs7828503	8	27385398	3.9735	0.8914	8.28422e-06		
48	rs2607058	8	95296944	rs7831168	8	138689939	-1.2499	0.2760	5.91704e-06		
49	rs4506215	8	123591503	rs763512	17	32963644	-1.1925	0.2673	8.16839e-06		
50	rs10814814	9	4009700	rs8063474	16	53100356	-1.3832	0.2958	2.92979e-06		
51	rs16938162	9	20753840	rs7349	10	31857911	1.2521	0.2814	8.64043e-06		
52	rs11144075	9	76529111	rs3095821	15	55363208	1.7919	0.4026	8.53269e-06		
53	rs11008356	10	31465689	rs2669017	12	75564882	-1.9340	0.4367	9.49989e-06		
54	rs10128422	10	130837828	rs2198517	17	51367182	-3.2100	0.7016	4.74958e-06		
55	rs2669017	12	75564882	rs9597698	13	57738510	1.1389	0.2490	4.78758e-06		
56	rs3120890	13	54609561	rs1951187	14	31977943	1.2457	0.2563	1.17078e-06		
57	rs3120890	13	54609561	rs941749	14	31998385	1.3059	0.2661	9.19626e-07		
58	rs1582147	13	54628925	rs1951187	14	31977943	1.2464	0.2563	1.15095e-06		
59	rs1582147	13	54628925	rs941749	14	31998385	1.3067	0.2660	9.03505e-07		
60	rs641385	13	54771026	rs1951187	14	31977943	1.1726	0.2548	4.19486e-06		
61	rs641385	13	54771026	rs941749	14	31998385	1.3008	0.2654	9.52124e-07		
62	rs12886510	14	40666305	rs2615258	15	42291407	-1.2745	0.2796	5.16825e-06		
63	rs12915222	15	21724598	rs6564427	16	75924089	1.4652	0.3109	2.44552e-06		
