V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs12089482	1	183864117	rs1689310	7	52983956	1.0042	0.2159	3.3078e-06		
2	rs10779486	1	206805932	rs11225401	11	102113169	-0.9935	0.1759	1.6097e-08		
3	rs10779486	1	206805932	rs4903419	14	76054408	-0.8547	0.1757	1.14832e-06		
4	rs748615	2	13250777	rs16827846	3	158771579	-16.9912	3.8248	8.89616e-06		
5	rs12712101	2	101426229	rs9393387	6	23396822	0.3867	0.0845	4.6701e-06		
6	rs2396261	2	226253774	rs6914506	6	37374934	0.4563	0.0921	7.21786e-07		TBC1D22B 
7	rs11549705	3	17107009	rs3749213	3	123616520	-0.8504	0.1891	6.92634e-06		
8	rs11549705	3	17107009	rs10934592	3	123617932	-0.8506	0.1892	6.92298e-06		
9	rs17018468	3	26662581	rs2508191	11	63509558	-16.2046	3.6469	8.85541e-06		
10	rs11925421	3	147370852	rs2394173	6	29881137	-1.4784	0.3183	3.4118e-06		
11	rs11925421	3	147370852	rs4903419	14	76054408	-1.0787	0.2247	1.58633e-06		
12	rs11925421	3	147370852	rs486743	18	12495089	0.9562	0.1937	7.996e-07		SPIRE1 
13	rs11925421	3	147370852	rs7278383	21	27500390	1.7747	0.3768	2.47226e-06		
14	rs10053502	5	40014929	rs486743	18	12495089	-0.4105	0.0892	4.20932e-06		SPIRE1 
15	rs6452463	5	81868125	rs11651038	17	11167226	-0.5360	0.1203	8.29945e-06		
16	rs6452463	5	81868125	rs1546560	17	11169414	-0.5363	0.1203	8.24343e-06		
17	rs6914506	6	37374934	rs13329856	16	57491588	-0.4824	0.0972	6.99962e-07	TBC1D22B	
18	rs6914506	6	37374934	rs235083	16	64760511	-0.4957	0.0713	3.69418e-12	TBC1D22B	
19	rs480456	6	147889216	rs4257948	7	93578688	-0.4184	0.0936	7.73479e-06		
20	rs4263777	8	25783203	rs551112	9	14433468	-0.8769	0.1952	7.07747e-06		
21	rs10429356	8	126150662	rs4792121	17	11141667	-0.5742	0.1291	8.67985e-06		
22	rs12686783	9	100901588	rs3210635	12	26955499	-0.6130	0.1353	5.86506e-06		
23	rs7946005	11	78464992	rs11225401	11	102113169	-0.7171	0.1576	5.35793e-06	TENM4	
24	rs7946005	11	78464992	rs4903419	14	76054408	-0.7035	0.1585	9.02146e-06	TENM4	
25	rs7946005	11	78464992	rs235083	16	64760511	0.6037	0.1325	5.24508e-06	TENM4	
26	rs7946005	11	78464992	rs486743	18	12495089	0.7445	0.1258	3.28291e-09	TENM4	SPIRE1 
27	rs11225401	11	102113169	rs235083	16	64760511	0.4424	0.0915	1.3385e-06		
28	rs10162458	14	77174941	rs2295000	20	61007383	-0.6148	0.1284	1.6795e-06		
29	rs235083	16	64760511	rs486743	18	12495089	-0.2986	0.0662	6.56885e-06		SPIRE1 
30	rs7186168	16	86543637	rs4792121	17	11141667	0.4059	0.0918	9.81487e-06		
