V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs3010109	1	27151140	rs11226850	11	105164739	2.8624	0.6105	2.74803e-06		
2	rs12025436	1	80078572	rs1452333	9	28110384	-1.3014	0.2933	9.0877e-06		
3	rs2503273	1	88046378	rs11075030	16	11883915	1.0811	0.2421	7.95436e-06		
4	rs2503273	1	88046378	rs11075032	16	11911951	1.0787	0.2432	9.2194e-06		
5	rs10881450	1	107190366	rs10492555	13	35607109	-17.1996	3.8527	8.03373e-06		
6	rs11583252	1	117275111	rs2545394	5	66441899	-17.4176	3.9373	9.69977e-06		
7	rs1891737	1	163195377	rs6472078	8	49907900	0.9183	0.2060	8.24406e-06		
8	rs1409813	1	182324982	rs7143462	14	76092986	1.3118	0.2926	7.34496e-06		
9	rs12755165	1	201286370	rs11916000	3	144846715	-2.7839	0.6256	8.5953e-06		
10	rs6691953	1	214721745	rs1866670	2	42163826	1.7707	0.3844	4.09264e-06		
11	rs7574069	2	116461957	rs2702959	17	31301319	-1.8928	0.4146	4.98898e-06		
12	rs6735366	2	117090007	rs7724036	5	150265001	1.2624	0.2681	2.49552e-06		
13	rs6719835	2	144504859	rs10873325	14	79531042	1.2082	0.2596	3.25006e-06		
14	rs6759721	2	147503753	rs12193414	6	2238019	-1.5902	0.3475	4.74317e-06		
15	rs2706035	2	147529174	rs6869001	5	60943136	2.3592	0.5311	8.90825e-06		
16	rs16863814	2	177000920	rs4301259	5	117288025	-1.5359	0.3448	8.43626e-06		
17	rs6722501	2	202501511	rs9936526	16	59162462	1.4549	0.3192	5.16022e-06		
18	rs11675143	2	230583555	rs4554985	12	24684085	-0.8614	0.1924	7.56811e-06		
19	rs748465	3	127690482	rs9958551	18	43490826	-16.8299	3.6601	4.26018e-06		
20	rs6784120	3	134844999	rs1564896	4	96667710	2.4703	0.5196	1.99179e-06		
21	rs13084806	3	193211750	rs6122673	20	46443923	2.7787	0.5452	3.46503e-07		
22	rs987218	4	141397778	rs16902124	8	128426400	-16.8295	3.7496	7.17697e-06		
23	rs1398186	4	141400596	rs980712	10	15680110	-1.6746	0.3650	4.46394e-06		
24	rs1398186	4	141400596	rs896431	10	15696680	-1.6853	0.3530	1.81028e-06		
25	rs1398186	4	141400596	rs2039910	10	15752834	-1.6896	0.3565	2.13979e-06		
26	rs1436969	5	30725657	rs2051072	6	37669843	0.8802	0.1797	9.64798e-07		
27	rs4389670	5	72646286	rs2388807	16	53294960	-2.3385	0.4972	2.55497e-06		
28	rs17163950	5	109093607	rs7939444	11	7738998	-1.6382	0.3438	1.88407e-06		
29	rs6872842	5	146443032	rs4799581	18	27415509	-0.8271	0.1796	4.11984e-06		
30	rs7723948	5	146445272	rs2704058	18	27411566	-0.8004	0.1791	7.8098e-06		
31	rs7723948	5	146445272	rs4799581	18	27415509	-0.8783	0.1796	1.00104e-06		
32	rs6939085	6	40739033	rs931546	6	125840174	-16.8805	3.6300	3.31456e-06		
33	rs6939230	6	40739043	rs931546	6	125840174	-16.8818	3.6098	2.91624e-06		
34	rs9381214	6	42801937	rs10781329	9	70808065	-1.2184	0.2741	8.81273e-06		
35	rs11980453	7	31404897	rs878202	18	68864017	1.8288	0.4096	8.01959e-06		
36	rs4282513	7	135986301	rs7317997	13	113781019	1.5554	0.3314	2.69543e-06		
37	rs13253327	8	9347868	rs854380	14	24340175	-0.8046	0.1795	7.39399e-06		
38	rs17150066	8	9347921	rs854380	14	24340175	-0.9277	0.1832	4.14057e-07		
39	rs2004678	8	10172645	rs36400	14	71429746	2.9652	0.6567	6.31394e-06		
40	rs1480803	8	136202180	rs4511648	19	35798852	1.2950	0.2831	4.79367e-06		
41	rs10119193	9	109336507	rs17132028	10	4119009	3.1801	0.6917	4.27896e-06		
42	rs7047863	9	110590683	rs12228854	12	46683187	2.5555	0.5702	7.38978e-06		
43	rs7047863	9	110590683	rs11168370	12	46721547	2.3114	0.5207	9.0462e-06		
44	rs7047863	9	110590683	rs9971764	12	130814085	3.6700	0.7595	1.35017e-06		
45	rs1349323	9	117781539	rs4766152	12	3620389	-0.9393	0.2007	2.8774e-06		
46	rs11192698	10	107811288	rs2824700	21	18484365	1.3977	0.2974	2.6108e-06		
47	rs2725829	11	76733434	rs4511648	19	35798852	1.6364	0.3491	2.76447e-06		
48	rs7973859	12	3855485	rs5746996	22	15983801	0.8547	0.1900	6.8435e-06		
49	rs17662791	14	51086033	rs9958551	18	43490826	3.4493	0.7545	4.84095e-06		
50	rs10484088	14	51102810	rs9958551	18	43490826	17.9096	3.8728	3.75638e-06		
