V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs11122109	1	6610945	rs9424522	1	230519655	-1.4552	0.3280	9.14473e-06		
2	rs2235564	1	6635701	rs8052587	16	24796094	17.1808	3.8246	7.04889e-06		
3	rs6659873	1	6646393	rs8052587	16	24796094	17.1689	3.8213	7.02494e-06		
4	rs2789740	1	14542883	rs1888560	14	20234085	1.6415	0.3641	6.52689e-06		
5	rs194637	1	33174360	rs6413504	19	11102915	1.1736	0.2588	5.77179e-06		
6	rs194640	1	33176068	rs6413504	19	11102915	1.1739	0.2588	5.73066e-06		
7	rs11161721	1	86260502	rs8055371	16	25635344	-1.7543	0.3802	3.93939e-06		
8	rs10799928	1	161761408	rs10076979	5	145027619	17.5446	3.8895	6.45913e-06		
9	rs17026635	1	214618990	rs1471744	5	154798692	-23.9991	5.4202	9.52492e-06		
10	rs2618663	1	235777616	rs10932037	2	204533591	2.0911	0.4698	8.55964e-06		
11	rs13405142	2	41409785	rs6998543	8	82063399	-16.7546	3.7633	8.50153e-06		
12	rs2874316	2	95173331	rs2042484	2	208071307	1.9369	0.4156	3.16075e-06		
13	rs2946592	2	100594107	rs882575	2	114734725	-1.1089	0.2388	3.42507e-06		
14	rs10182570	2	165817880	rs1445728	5	13260997	1.3874	0.2833	9.74896e-07		
15	rs10174400	2	165833465	rs1445728	5	13260997	1.4200	0.2824	4.95218e-07		
16	rs1011584	2	190606463	rs4146282	3	109979738	3.0712	0.6162	6.24003e-07		
17	rs6759008	2	216677487	rs4715247	6	51791833	5.7512	1.2063	1.86457e-06		
18	rs7579078	2	230935683	rs754970	11	45008403	1.1193	0.2519	8.84584e-06		
19	rs6803088	3	2643594	rs1837763	15	69494429	-2.8238	0.6251	6.25991e-06		
20	rs807193	3	53591378	rs12783710	10	82396254	-17.4838	3.7611	3.34217e-06		
21	rs1492001	3	54981222	rs2347785	7	47294909	-1.1395	0.2540	7.24856e-06		
22	rs1368515	3	97031729	rs2052162	7	77009553	1.4506	0.3127	3.51203e-06		
23	rs1368515	3	97031729	rs4729594	7	77136688	1.4535	0.3131	3.43792e-06		
24	rs10804512	3	97040061	rs2052162	7	77009553	1.4693	0.3124	2.55907e-06		
25	rs10804512	3	97040061	rs4729594	7	77136688	1.4728	0.3127	2.48231e-06		
26	rs13101933	4	163369235	rs2757117	14	58764396	-17.4512	3.8621	6.226e-06		
27	rs2067587	5	13446197	rs744654	14	94438034	2.1072	0.4224	6.08319e-07		
28	rs6885207	5	76180991	rs17205951	5	82884080	-1.7955	0.4023	8.06019e-06		
29	rs163129	5	78315576	rs2414049	15	48453732	1.3551	0.2997	6.14625e-06		
30	rs7720835	5	117269389	rs972894	15	35751832	1.2737	0.2862	8.60466e-06		
31	rs13196352	6	49621726	rs11064111	12	6232623	2.1282	0.4669	5.16984e-06		
32	rs3779837	8	2036057	rs2032357	18	20373239	-2.5278	0.5455	3.58927e-06		
33	rs11780116	8	73957810	rs5750310	22	35538606	1.4139	0.3195	9.59883e-06		
34	rs7006008	8	129676131	rs3830068	17	77233304	1.4650	0.3215	5.18877e-06		
35	rs7017613	8	139309627	rs2304144	19	57197045	-17.0745	3.5660	1.68287e-06		
36	rs12251539	10	12405881	rs17105725	10	87359244	1.8001	0.4016	7.36376e-06		
37	rs11258865	10	14186438	rs9612028	22	41953966	-24.4211	5.4523	7.49827e-06		
38	rs10732804	10	112785011	rs4130618	11	91176411	-2.2566	0.4395	2.8355e-07		
39	rs7112451	11	37182142	rs531860	11	115766886	18.5902	4.1010	5.81367e-06		
40	rs1483397	11	83314550	rs837127	15	35031478	-1.5133	0.3364	6.82307e-06		
41	rs1483397	11	83314550	rs844380	15	35032208	-1.4482	0.3253	8.52616e-06		
42	rs1450998	12	96550445	rs12904629	15	64274276	1.2851	0.2753	3.05149e-06		
43	rs7154375	14	22996199	rs2581641	18	71119261	1.1984	0.2604	4.17771e-06		
44	rs8014874	14	23008418	rs2581641	18	71119261	1.2142	0.2613	3.37157e-06		
45	rs1028589	14	23010199	rs2581641	18	71119261	1.2642	0.2658	1.9749e-06		
