V1	rs	chr	ps	beta	se	p	Gene 
1	rs7513083	1	20010708	0.0420	0.0086	1.180802e-06	
2	rs10914230	1	31142100	0.0570	0.0107	1.004611e-07	SDC3 
3	rs356392	1	71618040	0.0490	0.0100	9.407864e-07	
4	rs4262503	1	180518932	0.0227	0.0049	4.063218e-06	
5	rs12085373	1	191430770	0.0450	0.0098	4.082378e-06	CDC73 
6	rs7519081	1	194324511	0.0445	0.0096	4.026014e-06	
7	rs17022092	1	212418241	0.0353	0.0074	2.111922e-06	
8	rs11900406	2	74748856	0.0357	0.0080	9.439586e-06	SEMA4F 
9	rs17014064	2	77494416	0.0521	0.0117	8.994745e-06	LRRTM4 
10	rs10178717	2	109809934	0.0328	0.0070	2.922429e-06	
11	rs2922309	2	177188300	0.0182	0.0036	6.345909e-07	
12	rs16863360	2	222673958	0.0480	0.0090	9.439669e-08	
13	rs10211582	2	227299685	0.0424	0.0095	7.775491e-06	
14	rs16825543	2	229556193	0.0498	0.0102	1.027337e-06	PID1 
15	rs9878022	3	1118424	0.0184	0.0036	3.129339e-07	CNTN6 
16	rs6442206	3	1124544	0.0177	0.0036	1.024663e-06	CNTN6 
17	rs1504076	3	1129559	0.0208	0.0043	1.556434e-06	CNTN6 
18	rs2872338	3	1137041	0.0220	0.0043	2.47368e-07	CNTN6 
19	rs11925472	3	88921014	0.0578	0.0097	3.22674e-09	
20	rs6788974	3	88954827	0.0435	0.0091	1.901243e-06	
21	rs11921073	3	89693118	0.0550	0.0112	8.641648e-07	
22	rs7649531	3	187356269	0.0361	0.0081	8.977747e-06	DGKG 
23	rs11930898	4	34710972	0.0399	0.0089	7.150223e-06	
24	rs6447170	4	42262372	0.0202	0.0045	8.131334e-06	ATP8A1 
25	rs11934086	4	76867439	0.0332	0.0073	6.030591e-06	G3BP2 
26	rs7698406	4	88453617	0.0518	0.0109	1.984204e-06	HSD17B13 
27	rs9994891	4	111010902	0.0313	0.0065	1.507277e-06	LRIT3 
28	rs17050077	4	120234346	0.0500	0.0092	5.608889e-08	
29	rs17007008	4	142360954	0.0476	0.0105	6.164935e-06	
30	rs6824449	4	149210445	0.0114	0.0025	6.055101e-06	ARHGAP10 
31	rs11933380	4	149216852	0.0121	0.0026	2.391101e-06	
32	rs5534	4	149220535	0.0113	0.0025	3.963045e-06	NR3C2 
33	rs4396973	4	153866528	0.0485	0.0095	3.460692e-07	
34	rs6817090	4	156999620	0.0141	0.0032	8.673273e-06	ASIC5 
35	rs17314234	4	157030205	0.0196	0.0041	1.644914e-06	TDO2 
36	rs17054390	4	169766756	0.0500	0.0101	8.028544e-07	PALLD 
37	rs10013501	4	185851469	0.0577	0.0107	6.49959e-08	PRIMPOL 
38	rs10023035	4	189707217	0.0583	0.0102	1.126058e-08	
39	rs4481275	4	191066832	0.0281	0.0060	3.510118e-06	
40	rs7711748	5	689589	0.0608	0.0117	1.876282e-07	CEP72 
41	rs4540151	5	5411146	0.0470	0.0105	7.656081e-06	
42	rs16902110	5	12304916	0.0464	0.0098	2.404024e-06	
43	rs16894229	5	25229794	0.0476	0.0106	7.668456e-06	
44	rs16884834	5	55448597	0.0345	0.0076	6.13885e-06	ANKRD55 
45	rs6869150	5	71832199	0.0513	0.0108	2.281972e-06	ZNF366 
46	rs1150555	6	11108503	0.0582	0.0116	5.338111e-07	ELOVL2 
47	rs7767058	6	75640352	0.0454	0.0097	2.91443e-06	
48	rs6934826	6	79101608	0.0373	0.0081	4.38008e-06	
49	rs9456853	6	163639068	0.0532	0.0098	6.301062e-08	PACRG 
50	rs2526615	7	19024189	0.0558	0.0105	1.127028e-07	
51	rs10226401	7	86295461	0.0496	0.0106	3.101765e-06	GRM3 
52	rs7792679	7	154504393	0.0564	0.0106	1.225709e-07	HTR5A 
53	rs6946401	7	155921602	0.0359	0.0078	3.989848e-06	
54	rs9886459	8	9032820	0.0518	0.0103	4.546778e-07	PPP1R3B 
55	rs17054447	8	25759079	0.0491	0.0107	4.409374e-06	EBF2 
56	rs16876321	8	29984758	0.0570	0.0107	9.911058e-08	
57	rs6987116	8	32971639	0.0554	0.0111	7.016618e-07	
58	rs7003403	8	37860475	0.0575	0.0113	4.160963e-07	RAB11FIP1 
59	rs16891358	8	42509836	0.0791	0.0116	1.226689e-11	SLC20A2 
60	rs6990159	8	42523979	0.0308	0.0065	1.940991e-06	SMIM19 
61	rs13439165	8	87120095	0.0389	0.0087	8.341251e-06	ATP6V0D2 
62	rs16926678	9	10960165	0.0188	0.0040	2.291648e-06	
63	rs4097990	9	11053519	0.0218	0.0040	6.974418e-08	
64	rs16935681	9	17460126	0.0460	0.0094	8.980852e-07	CNTLN 
65	rs7027646	9	139341403	0.0233	0.0050	3.7343e-06	EXD3 
66	rs7907639	10	60537173	0.0417	0.0089	3.141399e-06	
67	rs12416478	10	132736140	0.0128	0.0029	7.5594e-06	
68	rs1329152	10	135153022	0.0282	0.0060	3.28626e-06	SCART1 
69	rs7924536	11	12874326	0.0283	0.0061	3.113337e-06	TEAD1 
70	rs12292743	11	24574951	0.0341	0.0076	7.201329e-06	LUZP2 
71	rs7110236	11	118908226	0.0368	0.0075	8.742096e-07	
72	rs12314360	12	8711391	0.0396	0.0088	6.752011e-06	
73	rs16913692	12	18035565	0.0452	0.0098	3.970053e-06	
74	rs12307979	12	44533920	0.0348	0.0076	4.798102e-06	ARID2 
75	rs7303119	12	44541262	0.0371	0.0081	4.787352e-06	ARID2 
76	rs10161510	12	44543753	0.0374	0.0081	4.343722e-06	ARID2 
77	rs1997279	12	79461884	0.0201	0.0043	2.568212e-06	PTPRQ 
78	rs7317427	13	27518563	0.0487	0.0100	1.202044e-06	FLT3 
79	rs7993593	13	27541728	0.0677	0.0103	5.891557e-11	FLT3 
80	rs16944562	13	89938215	0.0469	0.0099	2.086672e-06	
81	rs4778547	15	21323644	0.0383	0.0082	2.880616e-06	
82	rs1400896	15	34413201	0.0367	0.0080	4.950426e-06	
83	rs8039750	15	56740661	0.0472	0.0089	1.330753e-07	ADAM10 
84	rs720273	15	56811819	0.0469	0.0105	8.937799e-06	ADAM10 
85	rs3759822	15	66355366	0.0582	0.0114	3.343013e-07	
86	rs16970108	15	76886530	0.0474	0.0094	4.184148e-07	ADAMTS7 
87	rs2302085	15	90495211	0.0473	0.0101	2.798805e-06	SLCO3A1 
88	rs8060156	16	13673522	0.0382	0.0086	8.015921e-06	
89	rs6498703	16	17410330	0.0132	0.0030	8.419755e-06	XYLT1 
90	rs4547344	16	78341778	0.0118	0.0026	8.434265e-06	
91	rs13338235	16	78355131	0.0126	0.0027	2.779489e-06	
92	rs7239517	18	1760403	0.0538	0.0105	3.069724e-07	
93	rs8088506	18	53915357	0.0597	0.0115	2.436038e-07	NEDD4L 
94	rs17056358	18	70950152	0.0506	0.0108	2.906366e-06	
95	rs567717	18	75610863	0.0476	0.0100	1.876543e-06	CTDP1 
96	rs524643	18	75616126	0.0472	0.0099	2.128941e-06	
97	rs7250069	19	16682566	0.0620	0.0110	1.841046e-08	
98	rs2823875	21	16847242	0.0434	0.0071	1.042645e-09	
99	rs171479	21	28078751	0.0386	0.0086	7.339007e-06	
100	rs8132871	21	41732690	0.0162	0.0034	2.532079e-06	MX1 
101	rs5748302	22	17939409	0.0539	0.0102	1.357992e-07	
102	rs7290537	22	48312295	0.0605	0.0103	4.880806e-09	
