V1	rs	chr	ps	beta	se	p	Gene 
1	rs2379146	1	11405504	0.0438	0.0081	7.356094e-08	
2	rs4526656	1	77055155	0.0350	0.0076	3.886543e-06	
3	rs7512513	1	145553128	0.0158	0.0029	3.118e-08	BCL9 
4	rs946903	1	145563890	0.0151	0.0029	1.589736e-07	BCL9 
5	rs885239	1	145594226	0.0140	0.0031	4.808661e-06	ACP6 
6	rs7550430	1	179427776	0.0675	0.0106	2.251652e-10	
7	rs16846590	1	225131343	0.0519	0.0107	1.354884e-06	PSEN2 
8	rs971121	2	76814935	0.0111	0.0025	7.744659e-06	
9	rs10202684	2	125259581	0.0229	0.0050	4.007289e-06	CNTNAP5 
10	rs1568519	2	212714637	0.0216	0.0047	4.739713e-06	ERBB4 
11	rs9993404	4	25440137	0.0400	0.0090	8.982442e-06	SEL1L3 
12	rs17015461	4	90491000	0.0503	0.0113	8.450987e-06	
13	rs11562926	4	118869490	0.0115	0.0026	9.858816e-06	
14	rs152615	5	14645979	0.0529	0.0103	3.11351e-07	OTULINL 
15	rs10053502	5	40014929	0.0183	0.0033	2.031656e-08	
16	rs10475791	5	165980465	0.0453	0.0101	8.327628e-06	
17	rs11964520	6	20199553	0.0583	0.0095	9.02915e-10	
18	rs17139557	7	18677723	0.0519	0.0115	6.341957e-06	HDAC9 
19	rs4840528	8	10872062	0.0245	0.0048	2.970369e-07	XKR6 
20	rs6980533	8	20781438	0.0463	0.0095	1.223912e-06	
21	rs10092318	8	21414363	0.0592	0.0106	2.312417e-08	
22	rs16907174	8	138517940	0.0459	0.0102	6.733312e-06	
23	rs472936	9	112669312	0.0267	0.0060	7.607175e-06	
24	rs17011340	10	49756248	0.0544	0.0108	5.468037e-07	WDFY4 
25	rs7100357	10	94451324	0.0537	0.0107	6.132173e-07	
26	rs6585325	10	117053520	0.0517	0.0114	5.665307e-06	ATRNL1 
27	rs10490912	10	120136330	0.0558	0.0118	2.407318e-06	
28	rs11198385	10	120143942	0.0629	0.0103	1.135182e-09	
29	rs11818150	10	121060687	0.0350	0.0072	1.278625e-06	GRK5 
30	rs7069895	10	127903886	0.0516	0.0114	5.79542e-06	ADAM12 
31	rs12422109	11	3591662	0.0358	0.0080	6.868221e-06	TRPC2 
32	rs1036864	11	27177824	0.0544	0.0108	5.474938e-07	
33	rs12788404	11	95567860	-0.0123	0.0027	5.952731e-06	MAML2 
34	rs2920027	12	67241298	0.0475	0.0073	1.011208e-10	
35	rs11609868	12	126602165	0.0171	0.0036	1.825437e-06	
36	rs7308784	12	126814588	0.0483	0.0103	2.656139e-06	
37	rs17633078	13	29728634	0.0202	0.0045	8.412617e-06	KATNAL1 
38	rs4884871	13	69490705	0.0125	0.0027	5.162202e-06	KLHL1 
39	rs2019845	13	81866894	0.0212	0.0046	4.072522e-06	
40	rs10130493	14	30050171	0.0466	0.0102	5.039719e-06	
41	rs3865365	18	10515480	0.0499	0.0105	1.944334e-06	
42	rs171479	21	28078751	0.0451	0.0086	1.91667e-07	
