V1	rs	chr	ps	beta	se	p	Gene 
1	rs6664362	1	9536458	-0.1252	0.0106	1.355673e-31	SLC25A33 
2	rs16841336	1	157167751	-0.0536	0.0063	3.442908e-17	PYHIN1 
3	rs10779486	1	206805932	-0.0820	0.0081	8.339206e-24	
4	rs17025837	2	85136390	-0.0571	0.0069	2.64675e-16	KCMF1 
5	rs2396261	2	226253774	-0.0405	0.0081	5.565648e-07	
6	rs11925421	3	147370852	-0.1013	0.0096	1.063148e-25	
7	rs2394173	6	29881137	-0.0444	0.0076	5.607052e-09	
8	rs6914506	6	37374934	0.0718	0.0055	2.449977e-38	TBC1D22B 
9	rs16931350	8	65701037	0.0487	0.0095	3.433225e-07	CYP7B1 
10	rs7341614	8	68723993	0.1358	0.0296	4.600234e-06	CPA6 
11	rs10125854	9	5454065	0.0630	0.0137	4.417458e-06	CD274 
12	rs7946005	11	78464992	-0.0799	0.0079	1.167039e-23	TENM4 
13	rs11225401	11	102113169	-0.0536	0.0067	1.316471e-15	
14	rs4765231	12	124270220	-0.0423	0.0087	1.187936e-06	TMEM132B 
15	rs4765028	12	124278681	-0.0368	0.0082	7.45518e-06	TMEM132B 
16	rs11058097	12	124287014	-0.0400	0.0084	2.012821e-06	TMEM132B 
17	rs1003761	14	23602251	-0.0598	0.0103	6.047103e-09	CARMIL3 
18	rs4903419	14	76054408	-0.0542	0.0067	7.658302e-16	
19	rs13330491	16	30012701	0.0431	0.0085	4.075843e-07	YPEL3 
20	rs13329856	16	57491588	0.0407	0.0088	4.146549e-06	
21	rs235083	16	64760511	0.0623	0.0059	5.425392e-26	
22	rs486743	18	12495089	0.0387	0.0057	1.949031e-11	SPIRE1 
23	rs17002187	21	26762664	0.0284	0.0062	5.17815e-06	CYYR1 
