V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs12563394	1	7303334	rs10429632	9	134316627	-1.8560	0.4033	4.19639e-06		
2	rs919055	1	60235624	rs12039989	1	231564859	-2.3579	0.5138	4.46025e-06		
3	rs4287129	1	74788735	rs9569913	13	33104418	3.4697	0.7781	8.2328e-06		
4	rs10917799	1	161792101	rs10501429	11	77957438	1.3856	0.2775	5.92581e-07		
5	rs1934533	1	161810065	rs10501429	11	77957438	1.2591	0.2699	3.0773e-06		
6	rs11803436	1	180306065	rs7355673	2	213112634	1.3042	0.2932	8.67048e-06		
7	rs7520347	1	239507041	rs9358493	6	22269883	1.6514	0.3242	3.51577e-07		
8	rs28477715	1	240207464	rs16824173	2	228468580	-21.8462	4.9293	9.33961e-06		
9	rs11681404	2	106102745	rs10501745	11	90281003	-2.5166	0.5234	1.52626e-06		
10	rs13315983	3	2905995	rs9376393	6	139367404	-2.2107	0.5005	9.9945e-06		
11	rs11708252	3	63483860	rs3812689	10	70725502	2.2041	0.4911	7.17843e-06		
12	rs17045666	3	67097455	rs9559900	13	110325330	17.5897	3.8789	5.76743e-06		
13	rs17048091	3	69008468	rs237733	20	47375387	3.7309	0.8230	5.80689e-06		
14	rs6794608	3	150665245	rs17106990	14	37268283	1.6133	0.3568	6.14495e-06		
15	rs9289788	3	150690624	rs17106990	14	37268283	1.9302	0.4156	3.41595e-06		
16	rs17632548	3	178765503	rs2221894	8	28847078	-22.0786	4.9580	8.46258e-06		
17	rs10008679	4	23643806	rs1388176	18	61955870	2.0707	0.4610	7.04983e-06		
18	rs12647295	4	59176173	rs9563614	13	33087333	3.2846	0.7219	5.3626e-06		
19	rs6849677	4	84421707	rs500951	15	23924879	2.6582	0.5845	5.42465e-06		
20	rs9307824	4	84439636	rs500951	15	23924879	2.6060	0.5897	9.91743e-06		
21	rs313949	4	114240542	rs1829127	12	72715377	-17.1197	3.7726	5.68123e-06		
22	rs4241923	4	140062058	rs17799219	7	51105350	-1.9204	0.4241	5.95896e-06		
23	rs12502016	4	158569059	rs1944790	11	96366083	-2.0572	0.4484	4.4871e-06		
24	rs1865353	4	158579217	rs1944790	11	96366083	-2.0669	0.4481	3.9787e-06		
25	rs6536237	4	158583138	rs1944790	11	96366083	-1.9879	0.4491	9.57797e-06		
26	rs1049344	5	10733487	rs10099164	8	126458440	-1.9717	0.4318	4.976e-06		
27	rs3822414	5	10755688	rs10099164	8	126458440	-1.9779	0.4286	3.94038e-06		
28	rs7725550	5	11427223	rs1829127	12	72715377	-2.0408	0.4458	4.70738e-06		
29	rs7702488	5	11431282	rs1829127	12	72715377	-2.0201	0.4148	1.11439e-06		
30	rs13167730	5	79406003	rs7298766	12	531917	1.7179	0.3786	5.69543e-06		
31	rs17341747	5	103598057	rs7771953	6	27379322	-17.1239	3.6265	2.33622e-06		
32	rs4720028	7	31124806	rs2124154	8	2631200	2.8986	0.6538	9.28418e-06		
33	rs10246618	7	53250628	rs17119756	14	83704185	1.5370	0.3411	6.61509e-06		
34	rs664112	7	70786039	rs532849	18	42526088	-2.5354	0.5253	1.38897e-06		
35	rs9641363	7	105855399	rs11779546	8	26730853	1.2893	0.2876	7.36106e-06		
36	rs4726342	7	140501563	rs5027573	10	87881252	2.1600	0.4877	9.48129e-06		
37	rs4726342	7	140501563	rs9323455	14	64397041	2.9386	0.5834	4.7309e-07		
38	rs10112737	8	126354508	rs7961656	12	103546283	-18.5535	3.4055	5.09074e-08		
39	rs17156937	10	16847751	rs7123583	11	116105231	2.3735	0.5303	7.61678e-06		
40	rs1585962	11	38621133	rs12597	12	92320556	-1.3848	0.3134	9.92898e-06		
41	rs10773558	12	127643363	rs11626215	14	94365382	-1.2226	0.2538	1.44995e-06		
42	rs4784805	16	55998908	rs4808983	19	19743476	2.5561	0.5589	4.80444e-06		
