V1	rs	chr	ps	beta	se	p	Gene 
1	rs6664362	1	9536458	-0.1140	0.0098	6.045372e-31	SLC25A33 
2	rs16841336	1	157167751	-0.0471	0.0058	8.530469e-16	PYHIN1 
3	rs10779486	1	206805932	-0.0672	0.0075	3.520136e-19	
4	rs17025837	2	85136390	-0.0420	0.0064	6.236332e-11	KCMF1 
5	rs2396261	2	226253774	-0.0389	0.0074	1.760571e-07	
6	rs164208	3	32519945	0.0273	0.0061	7.229022e-06	
7	rs164219	3	32539488	0.0305	0.0063	1.192366e-06	
8	rs3853720	3	32590673	0.0272	0.0061	7.851331e-06	
9	rs11925421	3	147370852	-0.0968	0.0088	1.32862e-27	
10	rs6914506	6	37374934	0.0593	0.0051	5.092402e-31	TBC1D22B 
11	rs17837474	7	142056577	0.0433	0.0080	7.93706e-08	
12	rs11555737	8	17198414	0.0403	0.0087	3.449944e-06	VPS37A 
13	rs7015243	8	17220931	0.0413	0.0089	3.610716e-06	MTMR7 
14	rs16931350	8	65701037	0.0577	0.0088	5.578833e-11	CYP7B1 
15	rs3019885	8	118094826	-0.0265	0.0059	6.479774e-06	SLC30A8 
16	rs12114111	8	125398550	0.0389	0.0056	6.399247e-12	TMEM65 
17	rs10829351	10	129865332	-0.0353	0.0071	7.688361e-07	
18	rs7946005	11	78464992	-0.0693	0.0073	3.799564e-21	TENM4 
19	rs11225401	11	102113169	-0.0442	0.0062	7.932704e-13	
20	rs9548183	13	37559893	-0.0293	0.0065	6.773426e-06	
21	rs1924198	13	37628805	-0.0303	0.0064	2.171432e-06	
22	rs1003761	14	23602251	-0.0445	0.0095	2.52818e-06	CARMIL3 
23	rs4903419	14	76054408	-0.0494	0.0062	1.44213e-15	
24	rs13330491	16	30012701	0.0692	0.0078	7.493377e-19	YPEL3 
25	rs235083	16	64760511	0.0539	0.0054	4.174809e-23	
26	rs486743	18	12495089	0.0265	0.0053	6.556181e-07	SPIRE1 
