V1	rs	chr	ps	beta	se	p	Gene 
1	rs10917804	1	161825373	0.0183	0.0038	1.296552e-06	
2	rs12986863	2	42986051	0.0105	0.0023	4.623089e-06	
3	rs4851384	2	100928070	0.0180	0.0037	1.356349e-06	NPAS2 
4	rs2657606	3	16151302	0.0108	0.0024	4.735653e-06	
5	rs6766801	3	64476738	0.0530	0.0104	3.518725e-07	ADAMTS9 
6	rs17070965	3	64502168	0.0560	0.0106	1.421178e-07	ADAMTS9 
7	rs12644729	4	60612082	0.0410	0.0066	4.792338e-10	
8	rs10009793	4	60660113	0.0329	0.0063	2.010529e-07	
9	rs2328662	6	22149112	0.0138	0.0030	5.633088e-06	
10	rs12706405	7	121746982	0.0114	0.0025	4.280018e-06	CADPS2 
11	rs4871014	8	128340162	0.0112	0.0023	9.236507e-07	
12	rs11599366	10	3762249	0.0135	0.0029	4.094138e-06	
13	rs210271	10	42318996	0.0095	0.0021	9.285532e-06	
14	rs11101535	10	49734437	0.0126	0.0027	2.720994e-06	WDFY4 
15	rs7094610	10	49792187	0.0102	0.0022	6.452029e-06	LRRC18 
16	rs11195970	10	114222079	0.0179	0.0037	1.84804e-06	VTI1A 
17	rs3803174	12	43743585	0.0345	0.0077	7.346486e-06	
18	rs11499034	14	81042194	0.0539	0.0086	4.685786e-10	SEL1L 
19	rs2706600	18	61913993	0.0225	0.0041	2.952041e-08	
20	rs7233624	18	61946597	0.0235	0.0052	5.641393e-06	
21	rs1388176	18	61955870	0.0225	0.0050	5.650304e-06	
22	rs6034804	20	17298685	0.0201	0.0042	2.022442e-06	PCSK2 
