V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs12047204	1	4368607	rs7946005	11	78464992	1.7910	0.3901	4.39917e-06		TENM4 
2	rs1541318	1	4534838	rs643394	6	126635960	-1.5134	0.2944	2.73001e-07		
3	rs1541318	1	4534838	rs4724679	7	5451609	-17.1773	3.7331	4.19874e-06		
4	rs705191	1	33374139	rs7966642	12	23782609	18.8706	3.5243	8.58381e-08		
5	rs3902720	1	50377924	rs17093638	9	136259102	1.2244	0.2679	4.87643e-06		
6	rs10127537	1	58562458	rs11810097	1	232357275	1.1701	0.2637	9.1167e-06		
7	rs10801851	1	91519594	rs1328531	9	79579741	1.8565	0.4126	6.7977e-06		
8	rs743113	1	94215327	rs7626405	3	20151852	-2.2311	0.4997	7.99887e-06		
9	rs12080747	1	101858086	rs820007	2	173831519	-17.7399	3.7119	1.76065e-06		
10	rs2127980	1	105034488	rs745831	19	51715250	18.1066	3.9116	3.67549e-06		
11	rs3134871	1	150565857	rs271245	5	53223060	-17.8103	3.8408	3.53286e-06		
12	rs1208373	1	167441820	rs913891	20	55851133	17.2376	3.7057	3.2938e-06		
13	rs1938522	1	185702203	rs16901239	8	90951107	-2.1930	0.4799	4.87962e-06		
14	rs4025021	1	199695134	rs7661552	4	166259824	-17.5400	3.9542	9.17575e-06		
15	rs2551325	2	23833233	rs16882141	6	52127622	-17.6612	3.7828	3.02957e-06		
16	rs7562996	2	68940864	rs1328674	13	46339708	2.9105	0.6262	3.35506e-06		
17	rs3792223	2	68945648	rs1328674	13	46339708	3.4105	0.6811	5.52391e-07	BMP10	
18	rs6743132	2	85307104	rs16969846	15	76516794	-2.3816	0.5290	6.72647e-06		
19	rs10208875	2	134469526	rs8033596	15	60914346	2.4620	0.4724	1.87147e-07		
20	rs10200377	2	146407901	rs2566830	6	123006981	1.6218	0.3605	6.85146e-06		
21	rs820007	2	173831519	rs10838239	11	44112011	17.9575	4.0181	7.85295e-06		
22	rs16839858	2	204075021	rs3866838	4	111973264	-1.5618	0.3433	5.37838e-06		
23	rs7634161	3	2541831	rs7946005	11	78464992	1.7198	0.3871	8.90318e-06		TENM4 
24	rs7634161	3	2541831	rs2427537	20	61846671	-1.8606	0.3824	1.14268e-06		
25	rs12636309	3	2548531	rs2427537	20	61846671	-1.7883	0.3879	4.01153e-06		
26	rs11714594	3	4412484	rs6414745	4	11990689	-1.2889	0.2598	7.03247e-07		
27	rs3911945	3	5107977	rs11204411	17	19564494	-17.3735	3.8840	7.70934e-06		
28	rs2887976	3	64290071	rs13125670	4	10122170	1.3308	0.2984	8.21186e-06		
29	rs11128181	3	70690895	rs11754094	6	106216673	1.3513	0.3035	8.48149e-06		
30	rs16838468	3	98414526	rs831465	11	20135461	2.4301	0.5313	4.78625e-06		
31	rs4299484	3	109672317	rs9377141	6	148826747	-24.2549	5.3091	4.91175e-06		
32	rs11917814	3	119334708	rs16928055	11	35870147	1.5676	0.3416	4.45501e-06		
33	rs11927890	3	133484772	rs17046936	4	166835457	1.9884	0.4344	4.71527e-06		
34	rs970235	3	152304758	rs10746798	9	89157155	-1.1704	0.2511	3.13817e-06		
35	rs970235	3	152304758	rs3793708	10	5805643	-2.3536	0.5269	7.92367e-06		
36	rs1346943	3	152307484	rs10746798	9	89157155	-1.1745	0.2514	2.97422e-06		
37	rs1346943	3	152307484	rs3793708	10	5805643	-2.3482	0.5262	8.10085e-06		
38	rs11730321	4	57433226	rs193858	7	105363793	-2.2079	0.4714	2.81213e-06		
39	rs1387964	4	71296502	rs9354072	6	94764903	16.9583	3.7979	8.00114e-06		
40	rs2194225	5	35919561	rs10483936	14	79442984	-1.5988	0.3548	6.59064e-06		
41	rs302483	5	88179847	rs10828393	10	23329068	-16.6583	3.7335	8.1249e-06		
42	rs3776996	5	153777242	rs9347621	6	162670416	-2.8689	0.6398	7.32203e-06		
43	rs12526605	6	1566624	rs929026	22	33676625	2.2750	0.4602	7.69568e-07		
44	rs12529159	6	24055592	rs989996	7	117429488	-17.6914	3.8365	4.00199e-06		
45	rs12663510	6	42436047	rs2830412	21	26994130	2.1415	0.4750	6.51705e-06	TRERF1	
46	rs9388726	6	130077505	rs9518226	13	100398863	-1.8832	0.4208	7.63203e-06		
47	rs6456182	6	170388033	rs10774348	12	5573729	1.3579	0.3010	6.42949e-06		
48	rs12539924	7	10309563	rs2114076	11	25272547	-2.4557	0.5303	3.64873e-06		
49	rs36916	7	14969354	rs169851	9	92767566	-1.3064	0.2829	3.87523e-06		
50	rs11975368	7	52562628	rs12277367	11	107945626	-1.7715	0.3687	1.55476e-06		
51	rs1979600	7	154062483	rs953334	12	24363082	-1.5339	0.3367	5.20707e-06		
52	rs6991079	8	12777125	rs929026	22	33676625	1.9771	0.4289	4.02291e-06		
53	rs1809437	8	68691402	rs16970072	17	29924662	-1.5233	0.3241	2.60409e-06		
54	rs7875771	9	2923001	rs929026	22	33676625	-17.8825	3.4586	2.3352e-07		
55	rs169851	9	92767566	rs2872615	17	8855418	-1.1918	0.2613	5.09678e-06		
56	rs734632	9	97858467	rs8017553	14	22807362	1.2013	0.2687	7.78357e-06		
57	rs11573709	9	109125076	rs9555773	13	110571109	-1.5544	0.3518	9.96228e-06		
58	rs12219721	10	114930505	rs12279209	11	82630953	20.2670	4.3531	3.22792e-06		
59	rs1080015	11	2468103	rs16988469	20	37838349	17.3197	3.5842	1.34997e-06		
60	rs10838382	11	44877202	rs2427537	20	61846671	-1.7710	0.3997	9.3838e-06		
61	rs7946005	11	78464992	rs2427537	20	61846671	-2.3607	0.5162	4.7948e-06	TENM4	
62	rs7946005	11	78464992	rs2834428	21	34561844	3.1717	0.5047	3.30008e-10	TENM4	
63	rs7946005	11	78464992	rs4817630	21	34567605	2.5893	0.4567	1.42796e-08	TENM4	
64	rs12587046	14	87249362	rs2830412	21	26994130	17.8064	3.8326	3.38457e-06		
65	rs12444250	16	19031915	rs133076	22	39411507	-21.5003	4.6143	3.17007e-06		
66	rs8097281	18	57193201	rs3919594	18	68922380	-17.2152	3.8679	8.55575e-06		
67	rs16988469	20	37838349	rs913891	20	55851133	17.8300	3.8765	4.23414e-06		
68	rs2834428	21	34561844	rs4044210	22	45164979	-1.7960	0.3950	5.43591e-06		
