V1	rs	chr	ps	beta	se	p	Gene 
1	rs6664362	1	9536458	0.0240	0.0032	1.483981e-13	SLC25A33 
2	rs2360546	1	200155592	0.0117	0.0025	2.108225e-06	LMOD1 
3	rs16849442	1	200158880	0.0106	0.0024	7.466283e-06	LMOD1 
4	rs10779486	1	206805932	0.0118	0.0025	2.355672e-06	
5	rs12471455	2	79763857	0.0177	0.0037	2.172188e-06	CTNNA2 
6	rs2289129	3	14483315	0.0186	0.0042	8.383137e-06	SLC6A6 
7	rs2944401	3	117044246	0.0152	0.0034	9.204589e-06	LSAMP 
8	rs2972479	3	117048717	0.0163	0.0034	1.872022e-06	LSAMP 
9	rs11925421	3	147370852	0.0184	0.0029	4.73261e-10	
10	rs11934086	4	76867439	0.0271	0.0060	5.735106e-06	G3BP2 
11	rs2713946	4	111417254	0.0328	0.0053	6.26633e-10	
12	rs6866220	5	17078067	0.0403	0.0084	1.570396e-06	
13	rs6914506	6	37374934	-0.0088	0.0017	1.546578e-07	TBC1D22B 
14	rs1137086	6	149945290	0.0239	0.0052	5.054793e-06	GINM1 
15	rs9372012	6	150766274	0.0202	0.0042	2.004581e-06	IYD 
16	rs16919513	8	54805952	0.0323	0.0071	6.35616e-06	ATP6V1H 
17	rs7827405	8	69927679	0.0293	0.0063	3.71653e-06	
18	rs1888203	9	74713677	0.0426	0.0076	2.028845e-08	ALDH1A1 
19	rs7029300	9	109192354	0.0137	0.0030	5.883305e-06	
20	rs7946005	11	78464992	0.0125	0.0024	3.517999e-07	TENM4 
21	rs11225401	11	102113169	0.0093	0.0020	4.135928e-06	
22	rs2236336	14	24145569	0.0287	0.0060	2.141021e-06	GZMH 
23	rs1420995	16	50068938	0.0488	0.0090	6.728779e-08	
24	rs235083	16	64760511	-0.0096	0.0018	8.533857e-08	
25	rs1420791	17	61345212	0.0220	0.0043	3.859276e-07	CEP112 
26	rs9959968	18	10427781	0.0190	0.0038	5.643485e-07	
27	rs7577	18	70339327	0.0109	0.0023	2.563995e-06	CNDP2 
28	rs12151353	19	60878398	0.0365	0.0075	1.031181e-06	
29	rs16999673	21	40610439	0.0355	0.0080	8.672033e-06	DSCAM 
30	rs4822679	22	24722172	0.0240	0.0050	1.85396e-06	MYO18B 
