V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs12034719	1	8882740	rs1873061	17	3340194	0.8962	0.1995	7.07328e-06		
2	rs2105217	1	31700974	rs550353	5	31421753	1.1716	0.2641	9.15523e-06		
3	rs10493102	1	41781108	rs2280183	16	26987458	0.8757	0.1928	5.54145e-06		
4	rs1109255	1	41864295	rs12450609	17	71249027	-1.4880	0.3338	8.28709e-06		
5	rs12757818	1	104761380	rs4382869	11	14393309	-1.4173	0.3018	2.65012e-06		
6	rs486753	1	206395372	rs4861505	4	183508343	-1.6241	0.3430	2.19098e-06		
7	rs1332777	1	235820963	rs3799879	6	46672927	1.3297	0.2770	1.58329e-06		
8	rs1332777	1	235820963	rs16874838	6	46673023	1.2941	0.2796	3.68625e-06		
9	rs1842088	1	235824870	rs3799879	6	46672927	1.2723	0.2750	3.73154e-06		
10	rs1842088	1	235824870	rs16874838	6	46673023	1.2358	0.2776	8.50978e-06		
11	rs2192982	2	51369176	rs12467106	2	79301209	1.6400	0.3699	9.25034e-06		
12	rs1861108	2	59274551	rs8106157	19	49784782	2.1188	0.4754	8.32022e-06		
13	rs2042091	2	64622985	rs1519790	2	151319638	-1.2995	0.2625	7.39318e-07		
14	rs10201616	2	75529368	rs2693698	14	98788972	-0.8607	0.1885	4.948e-06		
15	rs580041	2	166658756	rs816623	10	599945	-2.7486	0.6142	7.64718e-06		
16	rs7587026	2	166686996	rs816623	10	599945	-2.7405	0.6085	6.66797e-06		
17	rs10515949	2	207446158	rs35294541	14	50974619	-1.6834	0.3809	9.90623e-06		
18	rs10933164	2	227568915	rs1812576	8	62335588	-1.3489	0.2840	2.02992e-06		
19	rs3773341	3	12591533	rs6886410	5	10161500	0.9705	0.1778	4.776e-08		
20	rs1873628	3	70193317	rs12111597	7	34836526	-2.0540	0.4596	7.85256e-06		
21	rs9874533	3	78363609	rs7777560	7	29428441	1.6559	0.3490	2.08683e-06		
22	rs964243	3	83649900	rs2100425	15	46021021	1.2354	0.2786	9.2362e-06		
23	rs9290057	3	101636807	rs269876	5	22626814	-2.3294	0.4954	2.57288e-06		
24	rs10516998	4	40820851	rs11072326	15	69851773	-1.2871	0.2620	9.00425e-07		
25	rs2291182	4	71236237	rs10486180	7	7528105	1.7258	0.3709	3.27583e-06		
26	rs17148759	4	71256426	rs10486180	7	7528105	1.6189	0.3620	7.7579e-06		
27	rs7660807	4	71423140	rs10486180	7	7528105	1.8648	0.3704	4.77229e-07		
28	rs7678480	4	87306344	rs10215217	7	25127658	1.0351	0.2246	4.06314e-06		
29	rs12498329	4	119530972	rs1574196	8	62656389	0.9820	0.2135	4.25482e-06		
30	rs724043	4	150120535	rs11665868	19	57045646	2.9996	0.6296	1.89802e-06		
31	rs269876	5	22626814	rs6099116	20	54374675	-2.1664	0.4600	2.48396e-06		
32	rs4435901	5	117399047	rs1792005	11	122947776	1.2235	0.2687	5.27761e-06		
33	rs7356549	5	129751415	rs8073016	17	66027687	-1.1027	0.2297	1.58098e-06		
34	rs2636112	5	143140380	rs9471773	6	42199623	-1.2516	0.2805	8.14772e-06		
35	rs2636112	5	143140380	rs9493282	6	99611098	0.9448	0.1988	2.00947e-06		
36	rs3792815	5	143172404	rs9493282	6	99611098	0.9417	0.2070	5.36743e-06		
37	rs11134531	5	168144746	rs10788336	10	86005175	0.9124	0.2039	7.60982e-06		
38	rs11134531	5	168144746	rs4933317	10	86006146	0.9252	0.2041	5.78925e-06		
39	rs28011	5	179339835	rs1189133	14	55951645	0.9330	0.2089	7.94133e-06		
40	rs9381137	6	42183439	rs180623	10	117774312	-0.9005	0.2030	9.13006e-06		
41	rs9688879	6	117806498	rs7944394	11	313649	1.1729	0.2271	2.39325e-07		
42	rs6569053	6	119539583	rs12580674	12	63204613	-2.2643	0.5124	9.905e-06		
43	rs10215217	7	25127658	rs11219115	11	122704777	1.2651	0.2735	3.7211e-06		
44	rs2285738	7	25148437	rs11219115	11	122704777	1.2167	0.2665	4.98167e-06		
45	rs7800248	7	29434639	rs860798	21	38054651	0.9782	0.2205	9.15855e-06		
46	rs255112	7	30703658	rs10149902	14	55952495	1.3518	0.3047	9.1307e-06		
47	rs255112	7	30703658	rs2269193	21	37028413	0.8909	0.1966	5.89267e-06		
48	rs10267710	7	95578271	rs9554019	13	26849711	1.4706	0.3228	5.212e-06		
49	rs4731523	7	128317512	rs2298389	22	23283349	-2.8521	0.5945	1.60363e-06		
50	rs2272750	8	28265756	rs11111796	12	102730058	1.1918	0.2606	4.81667e-06		
51	rs1606133	8	50215053	rs2849890	21	17807769	1.3259	0.2837	2.95774e-06		
52	rs1434927	8	69702396	rs976825	9	78118411	-0.9969	0.2227	7.57185e-06		
53	rs16924243	9	6247054	rs2835119	21	36039929	-17.1460	3.8803	9.92747e-06		
54	rs943452	10	6655460	rs17005224	12	78030993	-3.0671	0.6333	1.28012e-06		
55	rs2765161	13	23468779	rs2693698	14	98788972	-0.8782	0.1842	1.8668e-06		
56	rs9508434	13	28860368	rs9931155	16	9892024	0.8193	0.1816	6.43107e-06		
57	rs10483305	14	25626745	rs731119	16	54955872	-0.9807	0.2021	1.2197e-06		
58	rs10483305	14	25626745	rs9937484	16	55022018	-1.0663	0.2064	2.39145e-07		
59	rs8061733	16	26983403	rs7196183	16	77228455	0.8645	0.1953	9.57569e-06		
