V1	rs	chr	ps	beta	se	p	Gene 
1	rs12144395	1	97988897	0.0572	0.0123	3.605114e-06	DPYD 
2	rs17045707	3	6700175	0.0129	0.0029	8.053122e-06	
3	rs2068197	4	178461632	0.0473	0.0099	1.871678e-06	
4	rs562819	6	116385418	0.0145	0.0031	3.030728e-06	FRK 
5	rs12353094	9	7533336	0.0216	0.0045	1.675326e-06	
6	rs17771757	9	28189845	0.0295	0.0062	1.880324e-06	LINGO2 
7	rs1048370	9	139566627	0.0652	0.0136	1.60149e-06	MRPL41 
8	rs11017185	10	131986157	0.0261	0.0057	5.136763e-06	
9	rs7335956	13	101986271	0.0176	0.0037	1.697828e-06	
10	rs8081464	17	74703613	0.0262	0.0055	1.87884e-06	RBFOX3 
11	rs1440475	18	51130347	0.0392	0.0083	2.150068e-06	TCF4 
12	rs3764532	19	63621034	0.0154	0.0035	9.331308e-06	ZNF584 
13	rs11667591	19	63629449	0.0164	0.0035	2.290426e-06	
14	rs1122955	19	63638015	0.0162	0.0035	3.771492e-06	ZNF132 
15	rs12980907	19	63648138	0.0163	0.0035	3.724861e-06	
16	rs2823375	21	15853950	0.0175	0.0037	1.734587e-06	
17	rs9977399	21	23535457	0.0306	0.0066	3.677517e-06	
