V1	rs	chr	ps	beta	se	p	Gene 
1	rs6664362	1	9536458	0.2252	0.0094	4.379245e-119	SLC25A33 
2	rs3008409	1	31814425	0.0565	0.0107	1.487914e-07	
3	rs2602948	1	77530012	0.0350	0.0072	1.08932e-06	AK5 
4	rs16841336	1	157167751	0.0851	0.0058	3.525406e-48	PYHIN1 
5	rs10779486	1	206805932	0.1379	0.0074	1.619351e-75	
6	rs4832336	2	83911474	-0.0479	0.0071	1.645032e-11	
7	rs17025837	2	85136390	0.0896	0.0063	2.179066e-44	KCMF1 
8	rs2396261	2	226253774	0.0658	0.0074	1.259342e-18	
9	rs11925421	3	147370852	0.1927	0.0086	6.195197e-107	
10	rs11729526	4	323310	0.0383	0.0082	3.009371e-06	ZNF141 
11	rs4833120	4	35516217	-0.0281	0.0061	4.012208e-06	
12	rs10053502	5	40014929	-0.0748	0.0084	6.297018e-19	
13	rs16901158	5	83891214	-0.0544	0.0100	5.553335e-08	
14	rs2394173	6	29881137	0.0616	0.0070	2.082146e-18	
15	rs6914506	6	37374934	-0.1152	0.0049	1.470992e-115	TBC1D22B 
16	rs331833	7	54629782	-0.0530	0.0076	2.667352e-12	
17	rs17837474	7	142056577	-0.0568	0.0080	1.8312e-12	
18	rs16931350	8	65701037	-0.0581	0.0088	4.863796e-11	CYP7B1 
19	rs3019885	8	118094826	0.0398	0.0059	1.58287e-11	SLC30A8 
20	rs12114111	8	125398550	-0.0292	0.0057	2.843439e-07	TMEM65 
21	rs1887387	9	90069741	0.0464	0.0057	6.535233e-16	
22	rs4978649	9	109716918	0.0433	0.0061	1.832544e-12	
23	rs11238776	10	42098785	0.1046	0.0218	1.723645e-06	
24	rs7908852	10	90684773	0.0855	0.0139	7.865417e-10	STAMBPL1 
25	rs11818837	10	99209983	0.1540	0.0297	2.230238e-07	MMS19 
26	rs7913323	10	132050446	0.0340	0.0070	1.217173e-06	
27	rs7946005	11	78464992	0.1297	0.0072	1.442226e-69	TENM4 
28	rs11225401	11	102113169	0.0968	0.0061	6.03376e-56	
29	rs17100060	12	62739380	-0.0335	0.0075	8.276557e-06	SRGAP1 
30	rs9316212	13	20727309	-0.0348	0.0078	8.25745e-06	
31	rs2137512	13	64399588	-0.0314	0.0068	4.303749e-06	
32	rs1003761	14	23602251	0.0914	0.0094	5.07282e-22	CARMIL3 
33	rs4903419	14	76054408	0.0964	0.0061	4.322848e-55	
34	rs4780805	16	19312146	0.0413	0.0071	7.015834e-09	AC130456.7 
35	rs13330491	16	30012701	-0.0684	0.0078	3.076694e-18	YPEL3 
36	rs13329856	16	57491588	-0.0598	0.0081	2.302452e-13	
37	rs235083	16	64760511	-0.1138	0.0053	1.744564e-99	
38	rs486743	18	12495089	-0.0742	0.0052	1.134169e-44	SPIRE1 
39	rs2849233	18	46585551	0.0334	0.0058	9.244312e-09	MRO 
40	rs11910489	21	16968775	0.0825	0.0122	1.403848e-11	
41	rs4596064	21	19786452	0.0394	0.0078	4.893777e-07	
42	rs2828789	21	24363246	0.0617	0.0139	9.103979e-06	
43	rs17002187	21	26762664	-0.0460	0.0057	1.1432e-15	CYYR1 
