V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs16861446	1	18221371	rs2798353	1	47413628	1.5482	0.3489	9.10384e-06		
2	rs1149064	1	30315613	rs511773	2	13543565	0.5905	0.1332	9.33032e-06		
3	rs16841336	1	157167751	rs10779486	1	206805932	-1.1393	0.1833	5.08374e-10	PYHIN1	
4	rs16841336	1	157167751	rs11925421	3	147370852	-1.4548	0.2774	1.57319e-07	PYHIN1	
5	rs16841336	1	157167751	rs7946005	11	78464992	-0.8703	0.1698	2.98342e-07	PYHIN1	TENM4 
6	rs16841336	1	157167751	rs11225401	11	102113169	-0.5718	0.1211	2.35013e-06	PYHIN1	
7	rs16841336	1	157167751	rs4903419	14	76054408	-0.6564	0.1271	2.40881e-07	PYHIN1	
8	rs10779486	1	206805932	rs2396261	2	226253774	-1.0879	0.2392	5.41111e-06		
9	rs10779486	1	206805932	rs6914506	6	37374934	0.6451	0.1428	6.2931e-06		TBC1D22B 
10	rs10779486	1	206805932	rs11225401	11	102113169	-1.0480	0.1915	4.44974e-08		
11	rs10779486	1	206805932	rs4903419	14	76054408	-0.8963	0.1925	3.23644e-06		
12	rs10779486	1	206805932	rs235083	16	64760511	0.8737	0.1594	4.19024e-08		
13	rs10779486	1	206805932	rs486743	18	12495089	0.6892	0.1536	7.2125e-06		SPIRE1 
14	rs511773	2	13543565	rs17097224	5	140708718	-2.8161	0.6119	4.18622e-06		
15	rs13402137	2	91334683	rs7832778	8	27181804	-2.0163	0.4550	9.36948e-06		
16	rs10206874	2	120876615	rs9988693	10	4369270	0.4632	0.0962	1.45726e-06		
17	rs2396261	2	226253774	rs11925421	3	147370852	-2.2440	0.4296	1.76062e-07		
18	rs2396261	2	226253774	rs2394173	6	29881137	-0.6360	0.1373	3.59189e-06		
19	rs2396261	2	226253774	rs11225401	11	102113169	-0.9079	0.1478	8.05579e-10		
20	rs2396261	2	226253774	rs235083	16	64760511	0.4829	0.0991	1.1096e-06		
21	rs2396261	2	226253774	rs486743	18	12495089	0.4315	0.0942	4.69904e-06		SPIRE1 
22	rs4381740	2	235698824	rs16879540	4	27200415	-17.2377	3.7457	4.18497e-06		
23	rs10180205	2	240165374	rs4618447	5	177799781	-1.3536	0.2975	5.37353e-06		
24	rs9861677	3	29472993	rs4374629	4	99630806	0.4309	0.0932	3.79037e-06		
25	rs13325694	3	150740094	rs6924196	6	131631199	-0.5837	0.1108	1.38346e-07		
26	rs11735537	4	144370151	rs2188148	7	91046536	-1.1761	0.2605	6.32338e-06		
27	rs2355617	4	146429885	rs3848701	20	57536928	-0.4536	0.0957	2.16634e-06		
28	rs30708	5	128987981	rs4922069	8	19518995	-0.8433	0.1798	2.71299e-06		
29	rs17338894	5	164848265	rs1396208	12	24449587	0.4803	0.1063	6.17479e-06		
30	rs2267639	6	30688616	rs7843326	8	120942523	-0.9458	0.2096	6.38434e-06		
31	rs6914506	6	37374934	rs235083	16	64760511	-0.4966	0.0769	1.06689e-10	TBC1D22B	
32	rs6914506	6	37374934	rs486743	18	12495089	-0.3528	0.0733	1.48384e-06	TBC1D22B	SPIRE1 
33	rs10239402	7	36754882	rs17691755	19	34485216	-0.6212	0.1152	6.94713e-08		
34	rs7797417	7	46188335	rs10859030	12	89614699	-1.7266	0.3894	9.23292e-06		
35	rs4947572	7	51149992	rs8071990	17	4526387	-0.4730	0.1046	6.18877e-06		
36	rs10247961	7	75147682	rs2725627	15	51979784	-0.6196	0.1352	4.56701e-06		
37	rs9644372	8	4645818	rs2076421	16	1071394	1.4867	0.3339	8.47268e-06	CSMD1	
38	rs1947717	9	99145556	rs28364553	15	40492634	1.5533	0.3324	2.97645e-06		
39	rs2242187	9	99177215	rs28364553	15	40492634	1.5653	0.3290	1.95973e-06		
40	rs7023854	9	103331633	rs3824951	11	5611809	-0.4790	0.0974	8.70492e-07		
41	rs1983812	9	103372864	rs3824951	11	5611809	0.4332	0.0961	6.54686e-06		
42	rs12292693	11	64693295	rs17073814	13	80638674	1.0129	0.2243	6.2858e-06		
43	rs7946005	11	78464992	rs11225401	11	102113169	-0.9678	0.1802	7.888e-08	TENM4	
44	rs7946005	11	78464992	rs235083	16	64760511	0.7355	0.1439	3.18345e-07	TENM4	
45	rs11225401	11	102113169	rs4903419	14	76054408	-0.6355	0.1329	1.74557e-06		
46	rs235083	16	64760511	rs486743	18	12495089	-0.3868	0.0722	8.28396e-08		SPIRE1 
